label_target,scope,variant_name,dropped_features,n_features,n_samples,n_los,n_nlos,status,n_cv_repeats,n_cv_valid,cv_strategy,auc,auc_std,auc_ci_low,auc_ci_high,brier_score,brier_std,accuracy,accuracy_std,delta_auc_vs_full,delta_brier_vs_full,delta_accuracy_vs_full
geometric,B,baseline,"all_cp7",5,56,35,21,ok,20,20,stratified_kfold,0.847551020408163,0.0184419854363311,0.795918367346939,0.868027210884354,0.159958956050583,0.0107020719404107,0.783928571428572,0.0316800431543935,-0.0465306122448979,0.0302065276050936,-0.0383928571428569
geometric,B,full_proposed,"",11,56,35,21,ok,20,20,stratified_kfold,0.894081632653061,0.020084678170448,0.853061224489796,0.927891156462585,0.12975242844549,0.0144855730754132,0.822321428571428,0.0242191425031428,0,0,0
geometric,B,drop_gamma_rx1_only,"gamma_CP_rx1",10,56,35,21,ok,20,20,stratified_kfold,0.897551020408163,0.0171762415116603,0.866666666666666,0.925170068027211,0.126445733145656,0.0125732641887381,0.825,0.0262956421264865,0.00346938775510197,-0.00330669529983396,0.00267857142857153
geometric,B,drop_gamma_rx2_only,"gamma_CP_rx2",10,56,35,21,ok,20,20,stratified_kfold,0.898299319727891,0.0181727099568397,0.858503401360544,0.927891156462585,0.125762503615293,0.0151970040876067,0.820535714285714,0.0292420130566403,0.00421768707483017,-0.00398992483019694,-0.00178571428571417
geometric,B,drop_gamma_both,"gamma_CP_rx1,gamma_CP_rx2",9,56,35,21,ok,20,20,stratified_kfold,0.89421768707483,0.0159209376683116,0.857142857142857,0.918367346938776,0.125371937507087,0.0126349787335364,0.802678571428572,0.0340174932883665,0.000136054421768672,-0.00438049093840265,-0.0196428571428569
geometric,B,drop_rx1_branch,"gamma_CP_rx1,a_FP_RHCP_rx1,a_FP_LHCP_rx1",8,56,35,21,ok,20,20,stratified_kfold,0.896462585034013,0.0141247129225179,0.861224489795918,0.919727891156463,0.121833644262654,0.010256376863503,0.8375,0.0231019549439903,0.00238095238095226,-0.00791878418283556,0.0151785714285714
geometric,B,drop_rx2_branch,"gamma_CP_rx2,a_FP_RHCP_rx2,a_FP_LHCP_rx2",8,56,35,21,ok,20,20,stratified_kfold,0.883197278911565,0.0183827228741864,0.850340136054422,0.915646258503401,0.139002088621186,0.0140589827638697,0.816071428571429,0.0307116627661279,-0.0108843537414965,0.0092496601756962,-0.00624999999999976
geometric,B,drop_lhcp_pair,"a_FP_LHCP_rx1,a_FP_LHCP_rx2",9,56,35,21,ok,20,20,stratified_kfold,0.866326530612245,0.0205004477504701,0.827210884353742,0.899319727891156,0.144517268537912,0.0128549216237295,0.796428571428571,0.0297681697666604,-0.0277551020408164,0.014764840092422,-0.0258928571428571
geometric,B,drop_rhcp_pair,"a_FP_RHCP_rx1,a_FP_RHCP_rx2",9,56,35,21,ok,20,20,stratified_kfold,0.894149659863946,0.0144162281881047,0.85578231292517,0.915646258503401,0.128531681047733,0.012146273694068,0.835714285714286,0.0275425654369478,6.80272108843916e-05,-0.00122074739775671,0.0133928571428572
geometric,B,drop_a_fp_all,"a_FP_RHCP_rx1,a_FP_LHCP_rx1,a_FP_RHCP_rx2,a_FP_LHCP_rx2",7,56,35,21,ok,20,20,stratified_kfold,0.886054421768707,0.0148508083006098,0.844897959183673,0.918367346938775,0.132808775533637,0.00736705274636046,0.819642857142857,0.0152186004683355,-0.00802721088435376,0.00305634708814778,-0.00267857142857131
geometric,C,baseline,"all_cp7",5,56,21,35,ok,20,20,stratified_kfold,0.790884353741496,0.0189763897576948,0.757823129251701,0.835374149659864,0.189000605485647,0.00902671580637774,0.723214285714286,0.0242364604477963,-0.0973469387755103,0.0621782034519181,-0.1125
geometric,C,full_proposed,"",11,56,21,35,ok,20,20,stratified_kfold,0.888231292517007,0.0190183141150208,0.848979591836735,0.917006802721088,0.126822402033729,0.0114442799981322,0.835714285714286,0.0197323661233244,0,0,0
geometric,C,drop_gamma_rx1_only,"gamma_CP_rx1",10,56,21,35,ok,20,20,stratified_kfold,0.884557823129252,0.0144140316612324,0.848979591836735,0.904761904761905,0.129372884817037,0.0101389237103295,0.814285714285714,0.0219852504018247,-0.00367346938775504,0.00255048278330838,-0.0214285714285712
