scope,subset_id,n_features,feature_set,auc,accuracy,n_samples,n_los,n_nlos
B,S8,1,a_FP_LHCP_rx1,0.774285714285714,0.731818181818182,56,35,21
B,S46,4,gamma_CP_rx2 + a_FP_RHCP_rx1 + a_FP_LHCP_rx1 + a_FP_LHCP_rx2,0.772857142857143,0.76969696969697,56,35,21
B,S108,4,a_FP_RHCP_rx1 + a_FP_LHCP_rx1 + a_FP_LHCP_rx2 + fp_idx_diff_rx12,0.772857142857143,0.766666666666667,56,35,21
B,S27,4,gamma_CP_rx1 + gamma_CP_rx2 + a_FP_LHCP_rx1 + a_FP_RHCP_rx2,0.768571428571429,0.786363636363636,56,35,21
B,S72,2,a_FP_LHCP_rx1 + fp_idx_diff_rx12,0.768571428571428,0.75,56,35,21
B,S28,3,a_FP_RHCP_rx1 + a_FP_LHCP_rx1 + a_FP_RHCP_rx2,0.768571428571428,0.733333333333333,56,35,21
B,S37,3,gamma_CP_rx1 + a_FP_RHCP_rx1 + a_FP_LHCP_rx2,0.765714285714286,0.748484848484849,56,35,21
B,S60,4,a_FP_RHCP_rx1 + a_FP_LHCP_rx1 + a_FP_RHCP_rx2 + a_FP_LHCP_rx2,0.764285714285714,0.76969696969697,56,35,21
B,S34,2,gamma_CP_rx2 + a_FP_LHCP_rx2,0.764285714285714,0.695454545454546,56,35,21
B,S57,4,gamma_CP_rx1 + a_FP_LHCP_rx1 + a_FP_RHCP_rx2 + a_FP_LHCP_rx2,0.764285714285714,0.734848484848485,56,35,21
B,S47,5,gamma_CP_rx1 + gamma_CP_rx2 + a_FP_RHCP_rx1 + a_FP_LHCP_rx1 + a_FP_LHCP_rx2,0.764285714285714,0.73030303030303,56,35,21
B,S39,4,gamma_CP_rx1 + gamma_CP_rx2 + a_FP_RHCP_rx1 + a_FP_LHCP_rx2,0.762857142857143,0.73030303030303,56,35,21
B,S122,5,gamma_CP_rx2 + a_FP_LHCP_rx1 + a_FP_RHCP_rx2 + a_FP_LHCP_rx2 + fp_idx_diff_rx12,0.762857142857143,0.715151515151515,56,35,21
B,S120,4,a_FP_LHCP_rx1 + a_FP_RHCP_rx2 + a_FP_LHCP_rx2 + fp_idx_diff_rx12,0.762857142857143,0.696969696969697,56,35,21
B,S121,5,gamma_CP_rx1 + a_FP_LHCP_rx1 + a_FP_RHCP_rx2 + a_FP_LHCP_rx2 + fp_idx_diff_rx12,0.761428571428571,0.715151515151515,56,35,21
B,S110,5,gamma_CP_rx2 + a_FP_RHCP_rx1 + a_FP_LHCP_rx1 + a_FP_LHCP_rx2 + fp_idx_diff_rx12,0.76,0.751515151515152,56,35,21
B,S119,6,gamma_CP_rx1 + gamma_CP_rx2 + a_FP_RHCP_rx1 + a_FP_RHCP_rx2 + a_FP_LHCP_rx2 + fp_idx_diff_rx12,0.76,0.748484848484849,56,35,21
B,S95,6,gamma_CP_rx1 + gamma_CP_rx2 + a_FP_RHCP_rx1 + a_FP_LHCP_rx1 + a_FP_RHCP_rx2 + fp_idx_diff_rx12,0.76,0.698484848484848,56,35,21
B,S58,4,gamma_CP_rx2 + a_FP_LHCP_rx1 + a_FP_RHCP_rx2 + a_FP_LHCP_rx2,0.757142857142857,0.698484848484848,56,35,21
B,S99,4,gamma_CP_rx1 + gamma_CP_rx2 + a_FP_LHCP_rx2 + fp_idx_diff_rx12,0.755714285714286,0.678787878787879,56,35,21
B,S124,5,a_FP_RHCP_rx1 + a_FP_LHCP_rx1 + a_FP_RHCP_rx2 + a_FP_LHCP_rx2 + fp_idx_diff_rx12,0.755714285714286,0.733333333333333,56,35,21
B,S59,5,gamma_CP_rx1 + gamma_CP_rx2 + a_FP_LHCP_rx1 + a_FP_RHCP_rx2 + a_FP_LHCP_rx2,0.755714285714286,0.698484848484849,56,35,21
B,S55,5,gamma_CP_rx1 + gamma_CP_rx2 + a_FP_RHCP_rx1 + a_FP_RHCP_rx2 + a_FP_LHCP_rx2,0.754285714285714,0.801515151515152,56,35,21
B,S52,3,a_FP_RHCP_rx1 + a_FP_RHCP_rx2 + a_FP_LHCP_rx2,0.752857142857143,0.713636363636364,56,35,21
B,S36,2,a_FP_RHCP_rx1 + a_FP_LHCP_rx2,0.751428571428571,0.768181818181818,56,35,21
B,S101,4,gamma_CP_rx1 + a_FP_RHCP_rx1 + a_FP_LHCP_rx2 + fp_idx_diff_rx12,0.751428571428571,0.748484848484849,56,35,21
B,S98,3,gamma_CP_rx2 + a_FP_LHCP_rx2 + fp_idx_diff_rx12,0.75,0.695454545454546,56,35,21
B,S112,3,a_FP_RHCP_rx2 + a_FP_LHCP_rx2 + fp_idx_diff_rx12,0.75,0.695454545454546,56,35,21
B,S92,4,a_FP_RHCP_rx1 + a_FP_LHCP_rx1 + a_FP_RHCP_rx2 + fp_idx_diff_rx12,0.747142857142857,0.75,56,35,21
B,S103,5,gamma_CP_rx1 + gamma_CP_rx2 + a_FP_RHCP_rx1 + a_FP_LHCP_rx2 + fp_idx_diff_rx12,0.745714285714286,0.748484848484849,56,35,21
B,S118,5,gamma_CP_rx2 + a_FP_RHCP_rx1 + a_FP_RHCP_rx2 + a_FP_LHCP_rx2 + fp_idx_diff_rx12,0.745714285714286,0.695454545454546,56,35,21
B,S38,3,gamma_CP_rx2 + a_FP_RHCP_rx1 + a_FP_LHCP_rx2,0.744285714285714,0.75,56,35,21
B,S32,1,a_FP_LHCP_rx2,0.742857142857143,0.678787878787879,56,35,21
B,S51,4,gamma_CP_rx1 + gamma_CP_rx2 + a_FP_RHCP_rx2 + a_FP_LHCP_rx2,0.742857142857143,0.713636363636364,56,35,21
B,S62,5,gamma_CP_rx2 + a_FP_RHCP_rx1 + a_FP_LHCP_rx1 + a_FP_RHCP_rx2 + a_FP_LHCP_rx2,0.742857142857143,0.696969696969697,56,35,21
B,S94,5,gamma_CP_rx2 + a_FP_RHCP_rx1 + a_FP_LHCP_rx1 + a_FP_RHCP_rx2 + fp_idx_diff_rx12,0.74,0.733333333333333,56,35,21
B,S125,6,gamma_CP_rx1 + a_FP_RHCP_rx1 + a_FP_LHCP_rx1 + a_FP_RHCP_rx2 + a_FP_LHCP_rx2 + fp_idx_diff_rx12,0.74,0.715151515151515,56,35,21
B,S102,4,gamma_CP_rx2 + a_FP_RHCP_rx1 + a_FP_LHCP_rx2 + fp_idx_diff_rx12,0.738571428571429,0.731818181818182,56,35,21
B,S54,4,gamma_CP_rx2 + a_FP_RHCP_rx1 + a_FP_RHCP_rx2 + a_FP_LHCP_rx2,0.738571428571429,0.713636363636364,56,35,21
B,S116,4,a_FP_RHCP_rx1 + a_FP_RHCP_rx2 + a_FP_LHCP_rx2 + fp_idx_diff_rx12,0.738571428571429,0.695454545454546,56,35,21
B,S126,6,gamma_CP_rx2 + a_FP_RHCP_rx1 + a_FP_LHCP_rx1 + a_FP_RHCP_rx2 + a_FP_LHCP_rx2 + fp_idx_diff_rx12,0.734285714285714,0.678787878787879,56,35,21
B,S123,6,gamma_CP_rx1 + gamma_CP_rx2 + a_FP_LHCP_rx1 + a_FP_RHCP_rx2 + a_FP_LHCP_rx2 + fp_idx_diff_rx12,0.732857142857143,0.698484848484849,56,35,21
B,S100,3,a_FP_RHCP_rx1 + a_FP_LHCP_rx2 + fp_idx_diff_rx12,0.731428571428572,0.75,56,35,21
B,S49,3,gamma_CP_rx1 + a_FP_RHCP_rx2 + a_FP_LHCP_rx2,0.731428571428571,0.712121212121212,56,35,21
B,S53,4,gamma_CP_rx1 + a_FP_RHCP_rx1 + a_FP_RHCP_rx2 + a_FP_LHCP_rx2,0.73,0.677272727272727,56,35,21
B,S48,2,a_FP_RHCP_rx2 + a_FP_LHCP_rx2,0.728571428571429,0.695454545454546,56,35,21
B,S61,5,gamma_CP_rx1 + a_FP_RHCP_rx1 + a_FP_LHCP_rx1 + a_FP_RHCP_rx2 + a_FP_LHCP_rx2,0.728571428571429,0.751515151515152,56,35,21
B,S113,4,gamma_CP_rx1 + a_FP_RHCP_rx2 + a_FP_LHCP_rx2 + fp_idx_diff_rx12,0.725714285714286,0.712121212121212,56,35,21
B,S63,6,gamma_CP_rx1 + gamma_CP_rx2 + a_FP_RHCP_rx1 + a_FP_LHCP_rx1 + a_FP_RHCP_rx2 + a_FP_LHCP_rx2,0.72,0.713636363636364,56,35,21
B,S96,2,a_FP_LHCP_rx2 + fp_idx_diff_rx12,0.714285714285714,0.695454545454546,56,35,21
B,S115,5,gamma_CP_rx1 + gamma_CP_rx2 + a_FP_RHCP_rx2 + a_FP_LHCP_rx2 + fp_idx_diff_rx12,0.707142857142857,0.696969696969697,56,35,21
B,S50,3,gamma_CP_rx2 + a_FP_RHCP_rx2 + a_FP_LHCP_rx2,0.707142857142857,0.677272727272727,56,35,21
B,S127,7,gamma_CP_rx1 + gamma_CP_rx2 + a_FP_RHCP_rx1 + a_FP_LHCP_rx1 + a_FP_RHCP_rx2 + a_FP_LHCP_rx2 + fp_idx_diff_rx12,0.704285714285714,0.696969696969697,56,35,21
B,S117,5,gamma_CP_rx1 + a_FP_RHCP_rx1 + a_FP_RHCP_rx2 + a_FP_LHCP_rx2 + fp_idx_diff_rx12,0.702857142857143,0.677272727272727,56,35,21
B,S114,4,gamma_CP_rx2 + a_FP_RHCP_rx2 + a_FP_LHCP_rx2 + fp_idx_diff_rx12,0.7,0.659090909090909,56,35,21
B,S4,1,a_FP_RHCP_rx1,0.664285714285714,0.606060606060606,56,35,21
B,S68,2,a_FP_RHCP_rx1 + fp_idx_diff_rx12,0.658571428571429,0.640909090909091,56,35,21
B,S69,3,gamma_CP_rx1 + a_FP_RHCP_rx1 + fp_idx_diff_rx12,0.644285714285714,0.606060606060606,56,35,21
B,S17,2,gamma_CP_rx1 + a_FP_RHCP_rx2,0.64,0.571212121212121,56,35,21
