config,auc,accuracy,f1,ece,delta_auc_vs_combined
r_CP_only,0.697142857142857,0.572727272727273,0.707692307692308,0.0903958827431129,-0.0471428571428572
a_FP_only,0.754285714285714,0.751515151515152,0.842105263157895,0.107954632268259,0.0099999999999999
combined,0.744285714285714,0.731818181818182,0.724137931034483,0.115756681892491,0
