label_target,scope,model_name,n_samples,n_los,n_nlos,status,auc,brier_score,accuracy
geometric,B,baseline_plus_rx1,56,35,21,ok,0.889795918367347,0.130102003352354,0.839285714285714
geometric,B,baseline_plus_rx2,56,35,21,ok,0.900680272108843,0.123489258018343,0.839285714285714
geometric,B,baseline_plus_dual,56,35,21,ok,0.895238095238095,0.122643820170815,0.857142857142857
geometric,C,baseline_plus_rx1,56,21,35,ok,0.827210884353741,0.165545718470592,0.785714285714286
geometric,C,baseline_plus_rx2,56,21,35,ok,0.876190476190476,0.138430357454978,0.803571428571429
geometric,C,baseline_plus_dual,56,21,35,ok,0.891156462585034,0.12682056338639,0.821428571428571
geometric,B+C,baseline_plus_rx1,112,56,56,ok,0.900510204081633,0.126053028942984,0.830357142857143
geometric,B+C,baseline_plus_rx2,112,56,56,ok,0.899234693877551,0.121844576800615,0.821428571428571
geometric,B+C,baseline_plus_dual,112,56,56,ok,0.91390306122449,0.112603843015985,0.848214285714286
