label_target,label_column,group_name,n_samples,n_los,n_nlos,accuracy,precision,recall,specificity,f1_score,balanced_accuracy,auc,brier_score,tp,tn,fp,fn
material,material_class,overall,336,302,34,0.857142857142857,0.984732824427481,0.854304635761589,0.882352941176471,0.914893617021277,0.86832878846903,0.907869107908064,0.107282180542048,258,30,4,44
geometric,geometric_class,overall,336,224,112,0.696428571428571,0.824468085106383,0.691964285714286,0.705357142857143,0.752427184466019,0.698660714285714,0.795918367346939,0.182470297624653,155,79,33,69
