group_type,group_name,n_samples,n_los,n_nlos,accuracy,precision,recall,specificity,f1_score,balanced_accuracy,auc,brier_score,tp,tn,fp,fn
scenario,A,112,112,0,0.758928571428571,1,0.758928571428571,NaN,0.862944162436548,0.758928571428571,NaN,0.140690900947567,85,0,0,27
scenario,B,112,70,42,0.651785714285714,0.738461538461539,0.685714285714286,0.595238095238095,0.711111111111111,0.64047619047619,0.758843537414966,0.197333100920694,48,25,17,22
scenario,C,112,42,70,0.678571428571429,0.578947368421053,0.523809523809524,0.771428571428571,0.55,0.647619047619048,0.715646258503401,0.209386891005699,22,54,16,20
