case_name,scenario,polarization,pos_id,x_m,y_m,label,valid_flag,r_CP,a_FP,fp_idx_rx1,fp_idx_rx2,rss_rx1_db,rss_rx2_db,fp_energy_gap_db,rise_time_ns,mean_excess_delay_ns,rms_delay_spread_ns,max_excess_delay_ns,kurtosis_pdp,skewness_pdp,fp_energy_db,total_energy_db,fp_energy_ratio,fp_amp_norm,peak_to_leading_db,multipath_count,ricean_k_db,valid_for_model,oof_score,oof_pred,fold_id,full_fit_score
CP_caseA,A,CP,1,0.75,-1.75,1,1,0.103757836640253,0.250099987203325,10,10,-70.5018198530252,-62.2395899346446,4.67832785792169,1.74650698602891,3.76408888338046,5.4598344076767,46.4071856287682,30.5846370109068,4.84780911194459,-71.0490327455368,-66.3707048876151,0.340549180385485,0.195846796178731,5.53280918652315,74.5,-7.87650579437525,1,0.578245340468279,1,2,0.626061045580984
CP_caseA,A,CP,2,1.5,-1.75,1,1,0.0986975500252196,0.26086372045475,13,12,-67.2857481881956,-57.7136470720972,4.97762190082079,1.99600798403304,3.22613571045638,3.29679375795217,44.4111776447352,116.905951978063,7.6687199020245,-67.4773195281015,-62.4996976272807,0.329054811229711,0.194398699104256,5.31649089939323,56.5,-8.26221938582023,1,0.935263874740808,1,3,0.932677390237558
CP_caseA,A,CP,3,2.25,-1.75,1,1,0.0605421037481592,0.291848270638763,16,16,-68.3546108433933,-57.4892208800044,4.90865649452101,1.99600798403304,2.99039031650069,3.11263767444271,37.4251497006195,46.8141718736606,4.8245693527125,-67.8305723526483,-62.9219158581273,0.326596676614379,0.179883126963105,6.54972410305684,58,-7.59524703154093,1,0.730576246742627,1,4,0.718658464827817
CP_caseA,A,CP,4,3,-1.75,1,1,0.0750963103561886,0.228815140187809,20,20,-66.9771560789117,-58.3129052007571,4.5913442104038,1.99600798403304,2.86927801647535,3.49189064626825,44.4111776447352,99.6510599040311,8.18874682496203,-67.2363748475074,-62.6450306371036,0.350176909354949,0.200619042728645,5.40333973512406,54,-7.73865169848338,1,0.973624679518414,1,2,0.939825375326867
CP_caseA,A,CP,5,3.75,-1.75,1,1,0.0952130177580176,0.280446715970564,24,24,-68.706893399028,-58.2165888543414,4.32363680334515,1.74650698602891,2.86229661520176,3.0302551164571,43.6626746507228,106.792077788348,7.51716641530443,-67.7853779261301,-63.4617411227849,0.369525252580222,0.218500207538069,4.50841044178887,46,-7.89961369726322,1,0.98160719276805,1,2,0.92318295454175
CP_caseA,A,CP,6,4.5,-1.75,1,1,0.0725088330057412,0.310271478037676,28,29,-70.9042696726181,-59.8259882452638,4.29959297892553,1.74650698602891,2.56257411674023,2.99793286410595,48.1536926147972,98.3160776645802,7.91745987511287,-69.6647219314655,-65.3651289525399,0.376627338305818,0.205388336180436,5.5408945721704,55,-7.42521073354111,1,0.879778213080686,1,1,0.898827682392055
CP_caseA,A,CP,7,5.25,-1.75,1,1,0.172555485677451,0.2279087784535,34,34,-66.1304255539806,-59.936483368102,5.12811226338731,2.4950099800413,2.66022476068401,2.72597029653159,47.4051896207848,109.379988045919,8.39962488036796,-68.1615667219754,-63.0334544585881,0.30719594988223,0.187373229950284,5.97640596897669,46,-7.79428946167503,1,0.939627119951624,1,1,0.952163891835881
CP_caseA,A,CP,8,0.75,-1.25,1,1,0.136339910439641,0.350200311881892,8,7,-67.4917771937998,-58.061289948254,4.2880757542647,1.99600798403304,3.28467691725725,4.74953115962475,45.6586826347558,56.7049109646643,6.32877080846902,-67.0646093222768,-62.7765335680121,0.375375478080627,0.205503402018538,5.49721169023747,67,-7.42900243535084,1,0.874692349847228,1,2,0.843266642437126
CP_caseA,A,CP,9,1.5,-1.25,1,1,0.076341110283287,0.250584598689422,10,10,-65.9592713430532,-55.8350866462026,3.98643722053071,1.99600798403304,2.80169519429085,3.51022970798372,45.6586826347558,116.679028657025,8.2429257263557,-64.8836162130722,-60.8971789925415,0.401871662948911,0.219225224862668,4.98902974093809,54,-7.32838656083669,1,0.955974870505993,1,3,0.954697999555405
CP_caseA,A,CP,10,2.25,-1.25,1,1,0.0862807055119183,0.265457808225013,14,14,-65.8385038418712,-56.2789670355378,3.88410023062862,1.74650698602891,2.73455725657454,2.80358208355021,44.6606786427393,133.398804437778,6.52570615839133,-64.942835667279,-61.0587354366504,0.411805812346688,0.230184388820135,4.38136300475254,50.5,-7.50920733105815,1,0.993812886453317,1,2,0.917391953105333
CP_caseA,A,CP,11,3,-1.25,1,1,0.121453903117927,0.252263253423745,18,18,-66.2891780190146,-58.0424194589139,3.98513452176154,1.99600798403304,2.85395285447429,3.86846590599394,44.1616766467311,92.5391578831513,7.63827266842407,-66.1509332583669,-62.1657987366053,0.401362458623248,0.216741685975436,5.11347759174036,57,-7.304062411201,1,0.919953012357171,1,3,0.917900284046302
CP_caseA,A,CP,12,3.75,-1.25,1,1,0.156689140579162,0.301586335038467,23,23,-66.9316921376443,-60.012512163165,4.83976051259288,1.99600798403304,3.38949146886999,5.16199944609954,44.6606786427393,51.2773147513246,6.42302523215391,-68.3118626601351,-63.4721021475422,0.330831607109447,0.178387066224704,6.66927997823747,61.5,-7.54353504443106,1,0.881273252447529,1,4,0.853768993259857
CP_caseA,A,CP,13,4.5,-1.25,1,1,0.19027535003786,0.326179926420629,28,28,-67.5638734730411,-61.2354694003731,4.69986184747979,1.99600798403304,3.33618014694565,3.62162973466678,48.4031936128013,55.5952732917028,5.21892491332211,-69.0995332807945,-64.3996714333147,0.340528512370715,0.195648304225842,5.42011469406039,58.5,-8.01669459326698,1,0.782874327564767,1,3,0.793775340425775
CP_caseA,A,CP,14,5.25,-1.25,1,1,0.219217809086797,0.295598264744949,32,32,-69.4888213527769,-63.4623117413105,3.74699798765387,1.49700598802478,2.93609349096642,3.71958193845761,47.6546906187889,47.5315945653318,5.13577448614198,-70.2225645293412,-66.4755665416873,0.422635263688337,0.237439012314121,4.08455886594935,56.5,-7.52859780646581,1,0.677723611219947,1,3,0.681474837390256
CP_caseA,A,CP,15,0.75,-0.75,1,1,0.0622137676357547,0.27095506132375,5,5,-67.0679389104375,-55.3930789909781,3.92679982821437,1.99600798403304,2.9097844037584,4.23791732760112,46.1576846307641,108.077496830808,7.78585444718489,-65.1573087763006,-61.2305089480863,0.405297605765388,0.217672332047019,5.18832506258179,60.5,-7.15809849426471,1,0.9102355164046,1,1,0.935707407291771
CP_caseA,A,CP,16,1.5,-0.75,1,1,0.10632784999985,0.382092699938293,9,9,-64.4129479710115,-54.994507271876,4.26422112243476,1.99600798403304,2.60630097150156,2.96956117192567,43.4131736527187,171.376519183694,8.8919597920364,-63.9679487423942,-59.7037276199595,0.374855776265838,0.19874166219106,6.06882149891338,40.5,-7.08666373550991,1,0.998442956518529,1,2,0.978264626021849
CP_caseA,A,CP,17,2.25,-0.75,1,1,0.176975903100262,0.34862359820335,13,13,-63.6646524212667,-56.5948469845119,4.55521158267729,1.99600798403304,2.62423378305578,2.64446355793059,32.4351297405369,43.7460628888736,4.91607140138742,-64.6849612842253,-60.129749701548,0.350783436266756,0.183993184575079,6.76284070076909,46,-7.08704800698605,1,0.785016160285668,1,3,0.803329220766932
CP_caseA,A,CP,18,3,-0.75,1,1,0.230527951988527,0.272730841802266,17,17,-64.6870303448373,-59.0241715699131,3.78394071286075,1.99600798403304,2.80631366880089,4.20741828723505,46.4071856287682,68.3551027895988,6.93265584453719,-65.6395416684321,-61.8556009555713,0.419677875356599,0.223749509341776,4.94945167108739,60,-7.15213434726011,1,0.897360401916847,1,5,0.892321804846323
CP_caseA,A,CP,19,3.75,-0.75,1,1,0.276793537687156,0.284043313487643,22,22,-65.3852152846634,-59.9306874281664,4.08602409268892,1.99600798403304,3.2064187872699,5.22077006833368,44.9101796407435,42.2648496379458,5.63371988726088,-66.7439754469631,-62.6579513542742,0.390336044501824,0.225446199386198,4.38244548752721,69.5,-7.71516218153863,1,0.769882847843875,1,4,0.779706923380244
CP_caseA,A,CP,20,4.5,-0.75,1,1,0.318120594427687,0.37831625356532,27,27,-67.3285317300164,-62.9320526546593,4.15112281016152,1.99600798403304,2.93534650847691,4.10730488109842,47.904191616793,55.4063522540436,6.23116211254373,-69.2814149989458,-65.1302921887843,0.385313111317519,0.199278806928751,5.98222803022415,61,-7.17727974269002,1,0.811421762586612,1,5,0.794217692171972
