label_mode,scope,l1_auc,l1_xy_auc,delta_auc_xy,rf_cv_auc
geometric_class,B,0.825850340136054,0.865986394557823,0.0401360544217686,0.798639455782313
geometric_class,C,0.834013605442177,0.848979591836735,0.0149659863945578,0.76734693877551
geometric_class,B+C,0.839604591836735,0.848214285714286,0.00860969387755117,0.819515306122449
material_class,B,NaN,NaN,NaN,NaN
material_class,C,0.75625,0.8046875,0.0484374999999999,0.8515625
material_class,B+C,0.878018575851393,0.875541795665635,-0.00247678018575848,0.893188854489164
