case_name,scenario,pos_id,x_m,y_m,label,fp_energy_db,skewness_pdp,kurtosis_pdp,mean_excess_delay_ns,rms_delay_spread_ns,gamma_CP_rx1,gamma_CP_rx2,a_FP_RHCP_rx1,a_FP_LHCP_rx1,a_FP_RHCP_rx2,a_FP_LHCP_rx2,baseline_score,proposed_score,baseline_pred,proposed_pred,fold_id,hard_case_mask
CP_caseB,B,1,0.75,-1.75,1,-71.0491865901122,4.58223149519615,32.8777943868092,3.65422062931121,4.48897699903429,0.703876825260898,0.043232531092477,0.247563858729088,0.113303193262132,0.360469748602743,0.311432236067077,0.432391243549603,0.792768629140221,0,1,3,1
CP_caseB,B,21,5.25,-0.75,0,-69.948624341546,5.61433619243405,58.1368402170763,3.00026448879332,3.64760989876815,0.344610380479224,1.35988788596023,0.256062380177489,0.100261224845175,0.282366441438311,0.0542168238813563,0.723936673025356,0.45590134925413,1,0,2,0
CP_caseB,B,27,4.5,-0.25,0,-69.3753714551306,4.294496667726,33.8797419165234,3.19067909879721,3.36079238766382,0.515458178231592,1.59104779240739,0.266820511546719,0.105076683274994,0.285509240761734,0.0940960547568524,0.578064320684016,0.201927953849051,1,0,4,1
CP_caseB,B,34,4.5,0.25,0,-69.7893066223102,4.36865895755983,32.4408504948419,3.51637963163677,4.12841148700087,0.603603974005773,1.41458454118775,0.268033537785275,0.115027820810366,0.282691882289536,0.145435415304258,0.511765145167485,0.368999359629638,1,0,5,1
CP_caseB,B,43,0.75,1.25,1,-70.3087136077642,4.07224339812839,28.2972241970842,4.09900216296267,5.65537883293998,1.32423155867255,-0.0441450202514789,0.289146043385175,0.269075478459659,0.354919505261276,0.351571672843728,0.399906405875565,0.93442184659138,0,1,1,0
CP_caseB,B,50,0.75,1.75,1,-73.2371655270542,4.63576820587026,35.7154073029585,3.73721167165439,5.16255574494702,0.277521381250725,-0.174287721567211,0.359386343663199,0.313287454410196,0.286693824708681,0.23084804962331,0.306268467357187,0.815487885157573,0,1,3,0
CP_caseB,B,51,1.5,1.75,1,-73.9498112904058,4.82305110523471,41.6193034825199,5.33310328044782,6.09340361630226,0.859672498454131,-0.663085338509639,0.28876035898183,0.236720751109402,0.122009816920519,0.153799359179408,0.306970470933001,0.886464765284672,0,1,2,0
CP_caseC,C,1,0.75,-1.75,1,-71.0468626452978,3.79494793147063,25.5001554340463,3.79356551915896,4.19610600190257,0.702963752716057,0.0417525533672905,0.232217215959588,0.136257789986851,0.355357432241348,0.301994535052673,0.387508989434205,0.805594559529613,0,1,5,0
CP_caseC,C,2,1.5,-1.75,1,-67.4978066526219,2.41775586775693,17.9742628684263,3.16132974829574,2.45802548243085,0.609315757308192,0.683719030075102,0.174179387920019,0.067739700954692,0.279855195435887,0.169793718332515,0.495536710259368,0.779254265999538,0,1,4,1
CP_caseC,C,11,3,-1.25,0,-68.6403199052094,1.11558827352451,3.49795868632905,11.3750280581468,11.9371595621291,0.311286406930924,1.70864755317129,0.166494732813645,0.0692134556441964,0.390597020708693,0.0677388517362495,0.554442452882365,0.0465840226015319,1,0,1,1
CP_caseC,C,31,2.25,0.25,1,-67.7821548511177,3.20431013675778,17.6769197636819,3.73555428802057,5.02939627688761,0.468835150742025,0.759017516727257,0.304468288715191,0.220311362458596,0.287596943588146,0.222381482299612,0.441358859506254,0.680279574728176,0,1,5,1
CP_caseC,C,50,0.75,1.75,1,-73.2240165693738,3.90297659895635,27.2647962454066,5.8394609046182,7.26269968333351,0.274344848918001,-0.180099120919538,0.357365423100802,0.310027905505098,0.222918211902526,0.220586901383436,0.280525192353514,0.587705028445902,0,1,1,0
