case_name,scenario,pos_id,x_m,y_m,label,fp_energy_db,skewness_pdp,kurtosis_pdp,mean_excess_delay_ns,rms_delay_spread_ns,gamma_CP_rx1,gamma_CP_rx2,a_FP_RHCP_rx1,a_FP_LHCP_rx1,a_FP_RHCP_rx2,a_FP_LHCP_rx2,baseline_score,proposed_score,baseline_pred,proposed_pred,fold_id,hard_case_mask
CP_caseB,B,1,0.75,-1.75,1,-71.0491865901122,4.58223149519615,32.8777943868092,3.65422062931121,4.48897699903429,0.703876825260898,0.043232531092477,0.247563858729088,0.113303193262132,0.360469748602743,0.311432236067077,0.432391243549603,0.792768629140221,0,1,3,1
CP_caseB,B,19,3.75,-0.75,0,-68.3241244135102,3.66879269741274,18.6834360285822,3.10177950100038,3.84127488441968,0.280243320831364,1.44775780585459,0.268898192628369,0.0602121226334828,0.24887021833512,0.0488221310054283,0.454374195697309,0.0971289500940102,0,0,5,1
CP_caseB,B,26,3.75,-0.25,0,-69.4773612590536,3.84822858121914,20.3221151140974,3.15758197962636,4.13726363458185,0.505888337408846,0.977799680404893,0.383034663179524,0.114491064960275,0.402092573805661,0.0669346590237122,0.407722858148529,0.150635860729071,0,0,2,1
CP_caseB,B,27,4.5,-0.25,0,-69.3753714551306,4.294496667726,33.8797419165234,3.19067909879721,3.36079238766382,0.515458178231592,1.59104779240739,0.266820511546719,0.105076683274994,0.285509240761734,0.0940960547568524,0.578064320684016,0.201927953849051,1,0,4,1
CP_caseB,B,34,4.5,0.25,0,-69.7893066223102,4.36865895755983,32.4408504948419,3.51637963163677,4.12841148700087,0.603603974005773,1.41458454118775,0.268033537785275,0.115027820810366,0.282691882289536,0.145435415304258,0.511765145167485,0.368999359629638,1,0,5,1
CP_caseB,B,39,3,0.75,0,-67.2906864532241,4.41282137282436,29.7456615579942,3.00416462019391,4.06519433685934,0.97906454401422,0.548388845532686,0.434588377105616,0.198584342266901,0.405315578537845,0.150184476745376,0.596194671260369,0.774373221972374,1,1,1,1
CP_caseB,B,44,1.5,1.25,1,-69.5156238873498,4.47881004296975,38.243971538077,5.35637736110544,6.44084886658402,1.95070265138022,-0.14845612194104,0.313595461297965,0.124387435219987,0.159108998591189,0.171722359156348,0.553097987918257,0.866811083853515,1,1,3,1
CP_caseB,B,52,2.25,1.75,1,-72.1265611084104,4.74935311849544,42.4539622955857,5.00204512243115,5.74730913037209,1.21027951008887,-0.114475078338371,0.381335959452624,0.175462632506741,0.0841121066608804,0.0385475411945588,0.501689661215172,0.621053248683826,1,1,4,1
CP_caseB,B,53,3,1.75,1,-70.8420475864524,3.69982931109764,37.1697766780992,4.22991016270801,4.62049634014805,1.38774257590279,-0.18823403980718,0.394256727244182,0.0973480498167597,0.219253933224328,0.0347298302025358,0.515166586015268,0.525363614695983,1,1,5,1
CP_caseC,C,2,1.5,-1.75,1,-67.4978066526219,2.41775586775693,17.9742628684263,3.16132974829574,2.45802548243085,0.609315757308192,0.683719030075102,0.174179387920019,0.067739700954692,0.279855195435887,0.169793718332515,0.495536710259368,0.779254265999538,0,1,4,1
CP_caseC,C,4,3,-1.75,0,-71.1325261032698,3.57020883293977,27.093843134786,6.4932861071463,7.34745438091541,0.0261177903018104,1.69869565619871,0.121873057912502,0.0590764724515576,0.364196766744983,0.047640417321349,0.452912786313079,0.0829348232609357,0,0,1,1
CP_caseC,C,10,2.25,-1.25,0,-66.4819967624445,2.54987007505949,12.9331925117305,3.68882580842448,3.75835286099581,0.483455583870976,1.48191564092402,0.301421929487645,0.180598366753518,0.304109184519869,0.187008712332816,0.560438356163275,0.615967506246662,1,1,5,1
CP_caseC,C,11,3,-1.25,0,-68.6403199052094,1.11558827352451,3.49795868632905,11.3750280581468,11.9371595621291,0.311286406930924,1.70864755317129,0.166494732813645,0.0692134556441964,0.390597020708693,0.0677388517362495,0.554442452882365,0.0465840226015319,1,0,1,1
CP_caseC,C,12,3.75,-1.25,0,-70.5205813229491,3.82892582484875,27.3222645304456,3.60143010679617,4.00556020301929,0.342328764327052,2.17709496051148,0.204586861425299,0.133490154289966,0.210306076416913,0.0149799122082505,0.437046744908093,0.139395766346503,0,0,3,1
CP_caseC,C,31,2.25,0.25,1,-67.7821548511177,3.20431013675778,17.6769197636819,3.73555428802057,5.02939627688761,0.468835150742025,0.759017516727257,0.304468288715191,0.220311362458596,0.287596943588146,0.222381482299612,0.441358859506254,0.680279574728176,0,1,5,1
CP_caseC,C,43,0.75,1.25,1,-70.3097139222292,4.79683410370936,42.7559352233821,5.36522599256444,7.17621992532619,1.32466422292908,-0.0458382039475651,0.292070636240475,0.25133222222912,0.316540301317614,0.350003944600898,0.568917665319303,0.977637512706391,1,1,4,1
CP_caseC,C,48,4.5,1.25,0,-69.7793308866018,5.47803053058867,40.7870387470453,3.23169719168792,4.52190393636687,0.809436070556117,0.71292504627442,0.398480970991875,0.198889030938903,0.323522007723551,0.0521101889661333,0.540106277778997,0.562386856380684,1,1,1,1
