case_name,scenario,pos_id,x_m,y_m,label,fp_energy_db,skewness_pdp,kurtosis_pdp,mean_excess_delay_ns,rms_delay_spread_ns,gamma_CP_rx1,gamma_CP_rx2,a_FP_RHCP_rx1,a_FP_LHCP_rx1,a_FP_RHCP_rx2,a_FP_LHCP_rx2,baseline_score,proposed_score,baseline_pred,proposed_pred,fold_id,hard_case_mask
CP_caseB,B,6,4.5,-1.75,1,-67.7422121002213,6.57181998346424,65.9154294316696,2.68539279253602,3.4148537790324,-0.237459758088597,1.78932216944281,0.32937558198004,0.0731759344509683,0.342947339628986,0.0704636486060411,0.927433467988692,0.119413109414771,1,0,4,0
CP_caseB,B,18,3,-0.75,0,-65.9664985701891,5.70594140965465,59.5356930546302,2.62264968111656,2.96948332955666,0.290845509357814,1.40353421689952,0.393902129299843,0.225041565147198,0.444701616080999,0.111507253576831,0.935745420253933,0.874696301200849,1,1,4,0
CP_caseB,B,25,3,-0.25,0,-66.5637031120575,4.84489095578825,34.2785666356618,3.25970659917789,4.95003343677382,0.397215052363639,1.31057134625762,0.282946084800309,0.131752565443043,0.321329237725806,0.225120034244462,0.647243087112524,0.508556300176724,1,1,2,0
CP_caseB,B,32,3,0.25,0,-67.0725235630371,5.84816169887017,47.8576209420069,2.66115554044344,3.87583098612483,0.671333453896976,0.927878507360356,0.330360261630045,0.175688511911301,0.291546495703209,0.140313206622492,0.754522545804278,0.716510992775959,1,1,3,0
CP_caseB,B,39,3,0.75,0,-67.2906864532241,4.41282137282436,29.7456615579942,3.00416462019391,4.06519433685934,0.97906454401422,0.548388845532686,0.434588377105616,0.198584342266901,0.405315578537845,0.150184476745376,0.596194671260369,0.774373221972374,1,1,1,1
CP_caseC,C,3,2.25,-1.75,0,-67.013267318568,4.94993488931334,44.0317403643995,2.74123494643289,2.780296139032,0.54070826556544,1.37944937042094,0.284369603959317,0.119781596194412,0.325022962162283,0.196871165047655,0.799764299470488,0.724833956005527,1,1,3,0
CP_caseC,C,10,2.25,-1.25,0,-66.4819967624445,2.54987007505949,12.9331925117305,3.68882580842448,3.75835286099581,0.483455583870976,1.48191564092402,0.301421929487645,0.180598366753518,0.304109184519869,0.187008712332816,0.560438356163275,0.615967506246662,1,1,5,1
CP_caseC,C,13,4.5,-1.25,1,-77.6419198446784,1.26837671011943,5.85013735044517,7.43710876207914,6.76300716568125,0.530459104588135,0.998143647999965,0.128462729204132,0.0575938282300214,0.23297348877244,0.0232842401617172,0.0336287231848424,0.0175253658042771,0,0,4,0
CP_caseC,C,16,1.5,-0.75,1,-64.1105508535936,2.8044397732548,15.3690259495972,3.40417923401674,3.45957704564755,0.095665902498196,2.39584826671367,0.336331116334375,0.257106223019901,0.409092925514405,0.0790881571895511,0.711760646764516,0.473365584374404,1,0,5,0
CP_caseC,C,17,2.25,-0.75,0,-64.5841114215007,3.50356022280531,22.6322308205954,2.99984531721526,3.7603537470287,0.371573838843188,1.56349283813792,0.293529815431878,0.245301593989628,0.330460082529904,0.181796144409951,0.740785297547252,0.852934965055661,1,1,2,0
CP_caseC,C,22,0.75,-0.25,1,-63.0371572411868,3.76964770069921,24.9321107362077,2.72852270546394,3.06265645071029,0.317158147212878,1.99094411538369,0.275335626052067,0.136895438374176,0.318862216655979,0.055488153704527,0.780138657214143,0.386342818344093,1,0,3,0
CP_caseC,C,39,3,0.75,0,-68.0180005618083,4.67915332712621,36.6280966606799,3.11219697832592,4.08718532129845,1.05007613149997,0.425712153911531,0.424934177851114,0.155807933288066,0.411199395043989,0.179486137872213,0.627461180504165,0.620634281763743,1,1,5,0
CP_caseC,C,41,4.5,0.75,1,-72.5607024160985,3.66619332935676,23.5386371903746,3.92747827967416,5.13468272936434,0.607571510053505,0.0766259230246619,0.290777092857332,0.118437446837473,0.422949487006762,0.0666706745091722,0.245054111332231,0.187879870590163,0,0,5,0
CP_caseC,C,42,5.25,0.75,1,-69.154775816005,2.71704702082188,10.9065992287896,3.11274567169996,3.44695289109574,1.15829644269587,1.072004495137,0.412576367480277,0.185526115964529,0.360226372392876,0.0927423361675972,0.260487413706696,0.338276914547107,0,0,4,0
CP_caseC,C,44,1.5,1.25,1,-71.5423594803466,3.6127996490079,24.2042065734221,5.49978089494131,6.37117394496174,1.87238442608752,-0.209968549322467,0.318807465939872,0.0835669960753305,0.293434397306062,0.205864671156562,0.303705080330946,0.488522633682694,0,0,2,0
CP_caseC,C,46,3,1.25,0,-70.4392926478498,5.12477031116619,56.8612853448198,3.9086672600427,4.71706795631886,1.37589633328606,0.448920313377573,0.40454786121944,0.169869949477323,0.205666506902643,0.0932968448287385,0.778852397901508,0.804143001182611,1,1,4,0
CP_caseC,C,48,4.5,1.25,0,-69.7793308866018,5.47803053058867,40.7870387470453,3.23169719168792,4.52190393636687,0.809436070556117,0.71292504627442,0.398480970991875,0.198889030938903,0.323522007723551,0.0521101889661333,0.540106277778997,0.562386856380684,1,1,1,1
