scope,n_samples,n_boot_valid,auc_rx1,auc_rx2,auc_dual,auc_best_single,delta_auc_dual_minus_best_single,ci_low,ci_high,p_dual_le_best,status
B,56,1000,0.889795918367347,0.900680272108843,0.895238095238095,0.900680272108843,-0.00544217687074822,-0.0292892156862745,0.0337809962694755,0.475,ok
C,56,1000,0.827210884353741,0.876190476190476,0.891156462585034,0.876190476190476,0.0149659863945578,-0.0271230477302583,0.0583291330645161,0.347,ok
B+C,112,1000,0.900510204081633,0.899234693877551,0.91390306122449,0.900510204081633,0.013392857142857,-0.00963094463954262,0.0275893339381029,0.237,ok
