config,auc,accuracy,f1,ece,delta_auc_vs_combined
gamma_CP_only,0.408571428571429,0.625757575757576,0.458333333333333,0.0149284562861302,-0.335714285714286
a_FP_only,0.757142857142857,0.731818181818182,0.810810810810811,0.111548895718948,0.0128571428571429
fp_idx_diff_only,0.444285714285714,0.625757575757576,0.777777777777778,0.0207167420003546,-0.3
combined,0.744285714285714,0.713636363636364,0.724137931034483,0.107236905968463,0
