case_name,feature_name,n_samples,n_los,n_nlos,auc_raw,auc_best_direction,los_median,los_min,los_max,nlos_median,nlos_min,nlos_max,perfect_separation,separation_direction,threshold_candidate,separation_margin
CP_caseB,gamma_CP_rx1,56,35,21,0.63265306122449,0.63265306122449,0.718836165778259,-0.237459758088597,1.95070265138022,0.590122971441305,-0.572306602282194,1.12382323391284,0,none,NaN,NaN
CP_caseB,gamma_CP_rx2,56,35,21,0.417687074829932,0.582312925170068,0.753471036840276,-0.663085338509639,2.75691982904637,1.12962684062055,-0.0745341130193276,1.59104779240739,0,none,NaN,NaN
CP_caseB,a_FP_RHCP_rx1,56,35,21,0.658503401360544,0.658503401360544,0.310194213168612,0.231465167346482,0.419068027303834,0.271713055597154,0.110266481291145,0.434588377105616,0,none,NaN,NaN
CP_caseB,a_FP_LHCP_rx1,56,35,21,0.801360544217687,0.801360544217687,0.183864254544861,0.0598863181393882,0.347944119402695,0.106347316270742,0.0197099774910406,0.225041565147198,0,none,NaN,NaN
CP_caseB,a_FP_RHCP_rx2,56,35,21,0.541496598639456,0.541496598639456,0.321158534447715,0.0841121066608804,0.414435384478384,0.285509240761734,0.0938140953733848,0.444701616080999,0,none,NaN,NaN
CP_caseB,a_FP_LHCP_rx2,56,35,21,0.782312925170068,0.782312925170068,0.16547611200984,0.0347298302025358,0.424810117579012,0.0609708799526204,0.00428737540841256,0.225120034244462,0,none,NaN,NaN
CP_caseC,gamma_CP_rx1,56,21,35,0.710204081632653,0.710204081632653,0.702963752716057,0.095665902498196,1.87238442608752,0.342328764327052,-0.642434587628712,1.76436975258727,0,none,NaN,NaN
CP_caseC,gamma_CP_rx2,56,21,35,0.374149659863946,0.625850340136054,0.346381715465843,-0.209968549322467,2.39584826671367,0.711693696346417,-0.998242849158153,2.39828322983836,0,none,NaN,NaN
CP_caseC,a_FP_RHCP_rx1,56,21,35,0.733333333333333,0.733333333333333,0.318807465939872,0.128462729204132,0.412576367480277,0.228562913848373,0.0565539251282476,0.424934177851114,0,none,NaN,NaN
CP_caseC,a_FP_LHCP_rx1,56,21,35,0.771428571428571,0.771428571428571,0.185526115964529,0.0575938282300214,0.310027905505098,0.0742665356569819,0.00204988248945094,0.257622754120585,0,none,NaN,NaN
CP_caseC,a_FP_RHCP_rx2,56,21,35,0.810884353741497,0.810884353741497,0.318862216655979,0.222918211902526,0.422949487006762,0.21276342892391,0.0490768945313646,0.411199395043989,0,none,NaN,NaN
CP_caseC,a_FP_LHCP_rx2,56,21,35,0.843537414965986,0.843537414965986,0.220586901383436,0.0232842401617172,0.394561476744714,0.0655941137709818,0.00810310398970727,0.296890291281142,0,none,NaN,NaN
