feature_name,n_valid,r_squared,vif
a_FP_RHCP_rx1,112,0.676337950136084,3.08964242307818
a_FP_RHCP_rx2,112,0.593858285531249,2.46219475708876
gamma_CP_rx1,112,0.586850776018365,2.42043296212133
a_FP_LHCP_rx2,112,0.584470534505464,2.40656820524115
gamma_CP_rx2,112,0.565379806622802,2.30085949810464
a_FP_LHCP_rx1,112,0.542462070997142,2.18561115179973
