feature_name,n_valid,r_squared,vif
mean_excess_delay_ns,112,0.942711463437497,17.4554991278051
skewness_pdp,112,0.940535749509239,16.8168267782231
kurtosis_pdp,112,0.908857027271629,10.971772919677
rms_delay_spread_ns,112,0.897764978044959,9.78138392184
fp_energy_db,112,0.847115109312616,6.54086872485508
a_FP_RHCP_rx1,112,0.776357995033851,4.47143192152727
gamma_CP_rx2,112,0.763078374952442,4.22080508606703
a_FP_LHCP_rx2,112,0.707931653408951,3.42385613392125
gamma_CP_rx1,112,0.645737411491223,2.82276489936285
a_FP_RHCP_rx2,112,0.596903576143373,2.48079601012705
a_FP_LHCP_rx1,112,0.590673510115268,2.44303758665022
