cp7_feature,max_abs_pearson_baseline,max_abs_spearman_baseline,max_abs_corr_any,decision
gamma_CP_rx2,0.32427844052899,0.353956674753135,0.353956674753135,partial_redundancy
gamma_CP_rx1,0.408507142983003,0.392891311032904,0.408507142983003,partial_redundancy
a_FP_LHCP_rx2,0.437455722960819,0.532553729456384,0.532553729456384,partial_redundancy
a_FP_LHCP_rx1,0.457441142035743,0.572427990569584,0.572427990569584,partial_redundancy
a_FP_RHCP_rx2,0.644162299689937,0.592365121126183,0.644162299689937,high_redundancy
a_FP_RHCP_rx1,0.657887095518584,0.541847473263403,0.657887095518584,high_redundancy
