subset_name,n_samples,baseline_auc,proposed_auc,delta_auc,baseline_brier,proposed_brier,delta_brier,baseline_accuracy,proposed_accuracy,delta_accuracy,confidence_band_low,confidence_band_high
overall,336,0.909816906895208,0.898032723022984,-0.0117841838722244,0.125012653229288,0.120910258747113,-0.00410239448217589,0.836309523809524,0.830357142857143,-0.00595238095238093,0.4,0.6
hard_case_0p4_0p6,30,0.744,0.76,0.016,0.224195727153422,0.219279120750626,-0.00491660640279634,0.7,0.666666666666667,-0.0333333333333333,0.4,0.6
