case_name,n_samples,n_los,n_nlos,r_cp_auc_raw,r_cp_auc_best,los_median,los_min,los_max,nlos_median,nlos_min,nlos_max,perfect_separation,separation_direction,threshold_candidate,separation_margin
CP_caseB,56,55,1,1,1,0.854087710258843,0.0605685546181434,97.3621832724058,0.0363749942553935,0.0363749942553935,0.0363749942553935,1,higher_is_los,0.0484717744367684,0.0241935603627499
CP_caseC,56,40,16,0.4921875,0.5078125,1.03552498203424,0.0608378851860154,75.8240063633999,0.570655815100125,0.200890947976732,57.2488547259908,0,none,NaN,NaN
LP_caseB,56,55,1,0.781818181818182,0.781818181818182,1.40913336813577,0.182990348115034,25.2390649782474,0.810079051419807,0.810079051419807,0.810079051419807,0,none,NaN,NaN
LP_caseC,56,40,16,0.7,0.7,1.70660481343285,0.18312001373512,15.0452324928395,0.689755602420926,0.0469802657589557,6.87134600287911,0,none,NaN,NaN
