model_name,group_name,n_samples,n_los,n_nlos,accuracy,precision,recall,specificity,f1_score,balanced_accuracy,auc,brier_score,tp,tn,fp,fn
baseline,baseline,30,25,5,0.7,0.944444444444444,0.68,0.8,0.790697674418605,0.74,0.744,0.224195727153422,17,4,1,8
proposed,proposed,30,25,5,0.666666666666667,1,0.6,1,0.75,0.8,0.76,0.219279120750626,15,5,0,10
