model_name,group_name,n_samples,n_los,n_nlos,accuracy,precision,recall,specificity,f1_score,balanced_accuracy,auc,brier_score,tp,tn,fp,fn
baseline,baseline,336,302,34,0.836309523809524,0.980544747081712,0.834437086092715,0.852941176470588,0.901610017889088,0.843689131281652,0.909816906895208,0.125012653229288,252,29,5,50
proposed,proposed,336,302,34,0.830357142857143,0.984189723320158,0.824503311258278,0.882352941176471,0.897297297297297,0.853428126217374,0.898032723022984,0.120910258747113,249,30,4,53
