scope,n_valid,pearson,spearman,opposite_sign_fraction
B,56,-0.614379570451212,-0.675803144224197,0.839285714285714
C,56,-0.371563827680828,-0.402323991797676,0.696428571428571
B+C,112,-0.445236922680648,-0.497958451498275,0.714285714285714
