feature_x,feature_y,feature_x_value,feature_y_value,partial_dependence,pd_feature_x,pd_feature_y,interaction_residual
a_FP_RHCP_rx1,gamma_CP_rx2,0.111300941999028,-0.171704561604594,0.582006448412698,0.653125,0.842581845238095,-0.117143313492063
a_FP_RHCP_rx1,gamma_CP_rx2,0.123500675374702,-0.171704561604594,0.582006448412698,0.653125,0.844367559523809,-0.117143313492063
a_FP_RHCP_rx1,gamma_CP_rx2,0.135700408750375,-0.171704561604594,0.573970734126984,0.653125,0.844367559523809,-0.120045099206349
a_FP_RHCP_rx1,gamma_CP_rx2,0.147900142126049,-0.171704561604594,0.57203621031746,0.653125,0.840275297619048,-0.120045099206349
a_FP_RHCP_rx1,gamma_CP_rx2,0.160099875501723,-0.171704561604594,0.564298115079365,0.653125,0.835141369047619,-0.120045099206349
a_FP_RHCP_rx1,gamma_CP_rx2,0.172299608877397,-0.171704561604594,0.564298115079365,0.653125,0.823608630952381,-0.120045099206349
a_FP_RHCP_rx1,gamma_CP_rx2,0.184499342253071,-0.171704561604594,0.549156746031746,0.653125,0.825791170634921,-0.120863551587301
a_FP_RHCP_rx1,gamma_CP_rx2,0.196699075628745,-0.171704561604594,0.54796626984127,0.653125,0.82812251984127,-0.120863551587301
a_FP_RHCP_rx1,gamma_CP_rx2,0.208898809004418,-0.171704561604594,0.511284722222222,0.653125,0.822517361111111,-0.118879424603174
a_FP_RHCP_rx1,gamma_CP_rx2,0.221098542380092,-0.171704561604594,0.56187996031746,0.653125,0.832487599206349,-0.0983933134920634
a_FP_RHCP_rx1,gamma_CP_rx2,0.233298275755766,-0.171704561604594,0.868985615079365,0.653125,0.841763392857143,-0.0536884523809523
a_FP_RHCP_rx1,gamma_CP_rx2,0.24549800913144,-0.171704561604594,0.902988591269841,0.653125,0.850716765873016,-0.0468432142857139
a_FP_RHCP_rx1,gamma_CP_rx2,0.257697742507114,-0.171704561604594,0.908717757936508,0.653125,0.855577876984127,-0.0468432142857138
