label_mode,scope,n_valid,n_los,n_nlos,status,fp_idx_single_auc,fp_idx_direction,fp_idx_l1_selected,logistic_auc_7,logistic_auc_6,delta_logistic_auc,logistic_acc_7,logistic_acc_6,delta_logistic_acc,rf_auc_7,rf_auc_6,delta_rf_auc,drop_candidate,decision_note
geometric_class,B,56,35,21,ok,0.510204081632653,higher->LoS,0,0.704285714285714,0.72,0.0157142857142857,0.696969696969697,0.713636363636364,0.0166666666666666,0.834013605442177,0.868027210884354,0.0340136054421767,0,feature removal changes at least one model materially
geometric_class,C,56,21,35,ok,0.63469387755102,higher->NLoS,0,0.847142857142857,0.861428571428572,0.0142857142857143,0.695454545454545,0.731818181818182,0.0363636363636364,0.729251700680272,0.775510204081633,0.0462585034013604,0,feature removal changes at least one model materially
geometric_class,B+C,112,56,56,ok,0.591836734693878,higher->NLoS,1,0.830027548209366,0.838154269972452,0.00812672176308538,0.713833992094862,0.723320158102767,0.00948616600790519,0.815529336734694,0.811862244897959,-0.00366709183673464,1,near-zero loss in both logistic and RF
material_class,B,56,55,1,skipped_minority_scope,NaN,,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,minority class too small
material_class,C,56,40,16,ok,0.67421875,higher->NLoS,0,0.910416666666667,0.916666666666667,0.00624999999999998,0.839393939393939,0.837878787878788,-0.00151515151515158,0.84375,0.83984375,-0.00390625,1,near-zero loss in both logistic and RF
material_class,B+C,112,95,17,ok,0.728792569659443,higher->NLoS,1,0.842982456140351,0.853508771929825,0.0105263157894736,0.892490118577075,0.883399209486166,-0.00909090909090904,0.921362229102167,0.914860681114551,-0.00650154798761615,0,near-zero RF loss only
