"x_coord [mm]","y_coord [mm]","Freq [GHz]","mag(S(rx1_p1,tx_p1)) []","ang_deg(S(rx1_p1,tx_p1)) [deg]","mag(S(rx2_p1,tx_p1)) []","ang_deg(S(rx2_p1,tx_p1)) [deg]"
750,-1750,6.24,0.000557417289042129,-66.3966823878945,0.000838398334746459,81.3229625983662
750,-1750,6.241,0.000570212480056031,-67.6918956500921,0.000869249180877898,78.0056103286212
750,-1750,6.242,0.000585971188551256,-69.1637926330855,0.000903428755146947,74.3393673740272
750,-1750,6.243,0.000604389185597762,-70.854094632057,0.000939302822940783,70.3028788005398
750,-1750,6.244,0.000625189867096977,-72.7845788551081,0.000975137588286812,65.9102598079209
750,-1750,6.245,0.000648174335412034,-74.9687656405186,0.00100925742554601,61.2011480270894
750,-1750,6.246,0.000673184277711552,-77.4216485098398,0.00104017095948884,56.2309388925308
750,-1750,6.247,0.000700005504471673,-80.1628474058982,0.00106666214238768,51.0626030691671
750,-1750,6.248,0.000728264991551496,-83.2128123329326,0.00108784426296848,45.7603567695695
750,-1750,6.249,0.000757373072990583,-86.5852127421795,0.00110317477451016,40.3849775011893
750,-1750,6.25,0.000786538357393337,-90.2799277736314,0.00111243020787277,34.9905318904644
750,-1750,6.251,0.000814849474985437,-94.2799355275384,0.00111564466177809,29.6224716019159
750,-1750,6.252,0.000841391385787938,-98.5530142574939,0.00111302221210175,24.3172546447054
750,-1750,6.253,0.000865354779564228,-103.057046848224,0.00110484107734943,19.1037208660204
750,-1750,6.254,0.000886104895172125,-107.746713290837,0.00109137253878229,14.0063170229114
750,-1750,6.255,0.000903194292613512,-112.579399779896,0.00107283748373941,9.04994118222221
750,-1750,6.256,0.000916324856420801,-117.518784921405,0.00104941661402481,4.26576432084634
750,-1750,6.257,0.00092528116706148,-122.535396343939,0.0010213179956485,-0.302962606664992
750,-1750,6.258,0.000929865935644098,-127.604276973449,0.000988891280959085,-4.59630005966938
750,-1750,6.259,0.000929866112779056,-132.700640656923,0.000952765916708599,-8.5354798979739
750,-1750,6.26,0.000925066353526801,-137.794868961171,0.000913983560520729,-12.0246724214903
750,-1750,6.261,0.000915309206877216,-142.848275206086,0.000874092253861122,-14.9585014336842
750,-1750,6.262,0.000900585013485027,-147.810750655168,0.000835168931254782,-17.2375983659947
750,-1750,6.263,0.000881124692113358,-152.620880684222,0.000799735482221589,-18.7940204418534
750,-1750,6.264,0.000857467995779635,-157.208617599156,0.000770536013718492,-19.6249612063205
750,-1750,6.265,0.000830487030781935,-161.500274431175,0.000750165724691541,-19.8251104589845
750,-1750,6.266,0.00080135648658803,-165.42543341381,0.00074060512365506,-19.5983571265953
750,-1750,6.267,0.000771474668311003,-168.925219597436,0.000742804145395934,-19.230024362733
