label_target,scope,n_samples,n_boot_valid,auc_rx1,auc_rx2,auc_dual,auc_best_single,delta_auc_dual_minus_best_single,ci_low,ci_high,p_dual_le_best,status
material,B,56,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,insufficient_scope
material,C,56,1000,0.915625,0.9234375,0.9140625,0.9234375,-0.00937500000000002,-0.0415552584670232,0.00817367532005692,0.878,ok
material,B+C,112,1000,0.947368421052632,0.945510835913313,0.941795665634675,0.947368421052632,-0.00557275541795677,-0.0303876699421187,0.00472813238770697,0.908,ok
geometric,B,56,1000,0.907482993197279,0.912925170068027,0.910204081632653,0.912925170068027,-0.00272108843537411,-0.0709360273270047,0.0231292517006802,0.78,ok
geometric,C,56,1000,0.829931972789116,0.842176870748299,0.85578231292517,0.842176870748299,0.0136054421768707,-0.0713512978427033,0.0512455775613669,0.497,ok
geometric,B+C,112,1000,0.891900510204082,0.895089285714286,0.904974489795918,0.895089285714286,0.00988520408163285,-0.0246494293688172,0.0228724580017683,0.385,ok
