label_target,subset_name,n_samples,baseline_auc,proposed_auc,delta_auc,baseline_brier,proposed_brier,delta_brier,baseline_accuracy,proposed_accuracy,delta_accuracy,confidence_band_low,confidence_band_high
material,overall,336,0.909816906895208,0.898032723022984,-0.0117841838722244,0.125012653229288,0.120910258747113,-0.00410239448217589,0.836309523809524,0.830357142857143,-0.00595238095238093,0.4,0.6
material,hard_case_0p4_0p6,30,0.744,0.76,0.016,0.224195727153422,0.219279120750626,-0.00491660640279634,0.7,0.666666666666667,-0.0333333333333333,0.4,0.6
geometric,overall,336,0.763950892857143,0.766342474489796,0.00239158163265318,0.198346686708251,0.197180311515638,-0.00116637519261334,0.651785714285714,0.625,-0.0267857142857143,0.4,0.6
geometric,hard_case_0p4_0p6,92,0.391641791044776,0.346865671641791,-0.044776119402985,0.267510972790625,0.276138141454838,0.00862716866421259,0.41304347826087,0.304347826086957,-0.108695652173913,0.4,0.6
