feature_name,gamma_CP_rx1,gamma_CP_rx2,a_FP_RHCP_rx1,a_FP_LHCP_rx1,a_FP_RHCP_rx2,a_FP_LHCP_rx2
gamma_CP_rx1,1,-0.675803144224197,0.393164730006835,0.0295967190704033,-0.275666438824334,0.0437457279562543
gamma_CP_rx2,-0.675803144224197,1,-0.269583048530417,-0.0794258373205742,0.333356117566644,-0.20123034859877
a_FP_RHCP_rx1,0.393164730006835,-0.269583048530417,1,0.398154477101846,0.113123718386876,0.0392344497607655
a_FP_LHCP_rx1,0.0295967190704033,-0.0794258373205742,0.398154477101846,1,0.436295283663705,0.616267942583732
a_FP_RHCP_rx2,-0.275666438824334,0.333356117566644,0.113123718386876,0.436295283663705,1,0.400888585099111
a_FP_LHCP_rx2,0.0437457279562543,-0.20123034859877,0.0392344497607655,0.616267942583732,0.400888585099111,1
