config,auc,accuracy,f1,ece,delta_auc_vs_combined
r_CP_only,0.407142857142857,0.625757575757576,0.606060606060606,5.55111512312578e-17,-0.455714285714286
a_FP_only,0.855714285714286,0.784848484848485,0.782608695652174,0.0656225638840878,-0.00714285714285712
combined,0.862857142857143,0.803030303030303,0.791666666666667,0.0869660002984123,0
