pos_id,r_CP,a_FP,label,valid_flag,fp_idx_RHCP,fp_idx_LHCP,RSS_RHCP,RSS_LHCP,r_CP_rx1,r_CP_rx2,a_FP_RHCP_rx1,a_FP_LHCP_rx1,a_FP_RHCP_rx2,a_FP_LHCP_rx2,fp_idx_RHCP_rx1,fp_idx_LHCP_rx1,fp_idx_RHCP_rx2,fp_idx_LHCP_rx2,fp_idx_diff_rx12,fp_delay_diff_ns_rx12,position_id,scenario,distance_m
1,3.51318746649157,0.256456743310115,1,1,10,10,-70.1820685223909,-62.1861142999894,5.84504482071405,1.1813301122691,0.232217215959588,0.136257789986851,0.355357432241348,0.301994535052673,10,10,10,10,0,0,1,NA,NaN
2,5.02978552734188,0.172892000660778,1,1,12,12,-67.4724395217177,-57.5182201027713,4.30177633833102,5.75779471635273,0.174179387920019,0.067739700954692,0.279855195435887,0.169793718332515,12,12,12,12,0,0,2,NA,NaN
3,10.9714604588019,0.231511331840916,0,1,16.5,16.5,-66.5257019433937,-58.1839284200437,2.99231360072659,18.9506073168772,0.284369603959317,0.119781596194412,0.325022962162283,0.196871165047655,17,17,16,16,1,0.499001996008261,3,NA,NaN
4,26.7783259195526,0.148196678607598,0,1,20,20,-67.8692486454265,-60.4650661049934,1.60227293046693,51.9543789086382,0.121873057912502,0.0590764724515576,0.364196766744983,0.047640417321349,20,20,20,20,0,0,4,NA,NaN
5,111.486218573049,0.161636535551117,0,1,24.5,24.5,-69.4611115553158,-65.7277900345835,2.40993688789647,220.562500258201,0.233027970780069,0.0636663061469889,0.338604605014131,0.0112472602632779,25,25,24,24,1,0.499001996008261,5,NA,NaN
6,5.34277758935827,0.241350133763241,0,1,29,29,-70.039148786851,-59.59433409619,1.01163507035592,9.67392010836062,0.281292833700384,0.102122489312157,0.285094920759279,0.296890291281142,29,29,29,29,0,0,6,NA,NaN
7,158.292170050044,0.121296169758768,0,1,33.5,33.5,-68.5733603481728,-66.1049658849514,4.82398704456085,311.760353055527,0.175818041924665,0.0548810724039347,0.245419640874938,0.00906592383153464,34,34,33,33,1,0.499001996008262,7,NA,NaN
8,8.62273456757899,0.239920991361426,1,1,7.5,7.5,-67.131323063502,-58.0336050722911,12.5108996706653,4.7345694644927,0.322288107373224,0.0861273633220439,0.291030211367525,0.26023828338291,8,8,7,7,1,0.499001996008261,8,NA,NaN
9,14.056429921862,0.285948287752657,1,1,10.5,10.5,-65.7922214740557,-55.7489585277818,3.4816503964512,24.6312094472728,0.376546136734391,0.260969049547984,0.313267462285594,0.193010502442661,11,11,10,10,1,0.499001996008261,9,NA,NaN
10,15.9801180781293,0.243284548273462,0,1,14.5,14.5,-65.5424687389483,-58.2276585057678,2.70282081828008,29.2574153379786,0.301421929487645,0.180598366753518,0.304109184519869,0.187008712332816,15,15,14,14,1,0.499001996008261,10,NA,NaN
