term,coefficient,abs_coefficient
intercept,0.373303101800828,0.373303101800828
r_CP,0.412921252708238,0.412921252708238
a_FP,-0.0273283474775645,0.0273283474775645
fp_energy_gap_db,-0.287894002805539,0.287894002805539
rise_time_ns,-0.505700685541051,0.505700685541051
mean_excess_delay_ns,0.527100677722458,0.527100677722458
rms_delay_spread_ns,-0.0574516714333014,0.0574516714333014
max_excess_delay_ns,1.14495062653218,1.14495062653218
kurtosis_pdp,0.317792591791775,0.317792591791775
skewness_pdp,1.0090740214616,1.0090740214616
fp_energy_db,0.414747135668542,0.414747135668542
total_energy_db,0.423603268579572,0.423603268579572
fp_energy_ratio,-0.386110604730191,0.386110604730191
fp_amp_norm,-0.149238426065606,0.149238426065606
peak_to_leading_db,-0.0683405232406419,0.0683405232406419
multipath_count,-0.309876884566898,0.309876884566898
ricean_k_db,0.101096629325329,0.101096629325329
