group_name,n_samples,n_los,n_nlos,accuracy,precision,recall,specificity,f1_score,balanced_accuracy,auc,brier_score,tp,tn,fp,fn,fold_id
fold_1,67,45,22,0.776119402985075,0.894736842105263,0.755555555555556,0.818181818181818,0.819277108433735,0.786868686868687,0.854545454545454,0.167455998276164,34,18,4,11,1
fold_2,68,45,23,0.735294117647059,0.813953488372093,0.777777777777778,0.652173913043478,0.795454545454546,0.714975845410628,0.772946859903382,0.189152892216768,35,15,8,10,2
fold_3,67,44,23,0.626865671641791,0.756756756756757,0.636363636363636,0.608695652173913,0.691358024691358,0.622529644268775,0.810276679841897,0.174101627360859,28,14,9,16,3
fold_4,67,45,22,0.746268656716418,0.868421052631579,0.733333333333333,0.772727272727273,0.795180722891566,0.753030303030303,0.837373737373737,0.168547651128143,33,17,5,12,4
fold_5,67,45,22,0.597014925373134,0.78125,0.555555555555556,0.681818181818182,0.649350649350649,0.618686868686869,0.752525252525252,0.21299357892354,25,15,7,20,5
