dataset,scenario,feature,N,N_LoS,N_NLoS,mean_LoS,mean_NLoS,delta_mean,pointbiserial_r,auc_single,auc_oriented,ranksum_p,effect_r,note
caseA_4port_geometric,A,r_CP_rx1,56,56,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,single_class
caseA_4port_geometric,A,r_CP_rx2,56,56,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,single_class
caseA_4port_geometric,A,a_FP_RHCP_rx1,56,56,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,single_class
caseA_4port_geometric,A,a_FP_LHCP_rx1,56,56,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,single_class
caseA_4port_geometric,A,a_FP_RHCP_rx2,56,56,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,single_class
caseA_4port_geometric,A,a_FP_LHCP_rx2,56,56,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,single_class
caseB_4port_geometric,B,r_CP_rx1,56,35,21,7.86437834750422,3.96373946217166,3.90063888533256,0.219030272377826,0.580952380952381,0.580952380952381,0.318021956800526,0.133434312945775,ok
caseB_4port_geometric,B,r_CP_rx2,56,35,21,19.1163936703357,8.32392808839773,10.7924655819379,0.149503623334062,0.46530612244898,0.53469387755102,0.672217675990819,0.0565399631126164,ok
caseB_4port_geometric,B,a_FP_RHCP_rx1,56,35,21,0.321008994353788,0.289188617481074,0.0318203768727145,0.252701639860389,0.658503401360544,0.658503401360544,0.0496213802551547,0.26234542884254,ok
caseB_4port_geometric,B,a_FP_LHCP_rx1,56,35,21,0.220520335024087,0.135288691112208,0.0852316439118792,0.517187894019738,0.827210884353741,0.827210884353741,4.86914327767991e-05,0.542783645881117,ok
caseB_4port_geometric,B,a_FP_RHCP_rx2,56,35,21,0.309073147874014,0.301394025912183,0.0076791219618314,0.0450397660167215,0.541496598639456,0.541496598639456,0.611644383148579,0.0678479557351397,ok
caseB_4port_geometric,B,a_FP_LHCP_rx2,56,35,21,0.186526708076984,0.120479469289688,0.0660472387872959,0.380237020972041,0.731972789115646,0.731972789115646,0.00401318978664071,0.384471749165791,ok
caseC_4port_geometric,C,r_CP_rx1,56,21,35,7.42343742321581,4.31139552237448,3.11204190084133,0.220783849861605,0.695238095238095,0.695238095238095,0.0155133264742746,0.323408589004166,ok
caseC_4port_geometric,C,r_CP_rx2,56,21,35,16.9253485684003,7.06185123367413,9.86349733472621,0.155698509820746,0.530612244897959,0.530612244897959,0.709644499554827,0.0497551675391024,ok
caseC_4port_geometric,C,a_FP_RHCP_rx1,56,21,35,0.311118796816213,0.232853823110383,0.0782649737058303,0.384052076888001,0.733333333333333,0.733333333333333,0.00380310777755074,0.386733347690296,ok
caseC_4port_geometric,C,a_FP_LHCP_rx1,56,21,35,0.192286022972574,0.139999753766524,0.0522862692060499,0.348290565757904,0.693877551020408,0.693877551020408,0.0162503397172134,0.321146990479661,ok
caseC_4port_geometric,C,a_FP_RHCP_rx2,56,21,35,0.331716419796843,0.227197276700225,0.104519143096617,0.518315891008337,0.810884353741497,0.810884353741497,0.000113977850344576,0.515644463587062,ok
caseC_4port_geometric,C,a_FP_LHCP_rx2,56,21,35,0.224814564435515,0.136831101826769,0.087983462608746,0.484426415253972,0.780952380952381,0.780952380952381,0.000489575240349161,0.465889296047959,ok
caseBC_4port_geometric,BC,r_CP_rx1,112,56,56,7.69902550089607,4.18102449979842,3.51800100109764,0.225843689529795,0.65593112244898,0.65593112244898,0.00447359908537022,0.268607992454528,ok
caseBC_4port_geometric,BC,r_CP_rx2,112,56,56,18.2947517571099,7.53513005419548,10.7596217029144,0.163277566378771,0.505420918367347,0.505420918367347,0.92350721383708,0.00907273669498406,ok
caseBC_4port_geometric,BC,a_FP_RHCP_rx1,112,56,56,0.317300170277198,0.253979370999392,0.0633207992778057,0.371215616264224,0.712372448979592,0.712372448979592,0.00010764582486813,0.365933713364357,ok
caseBC_4port_geometric,BC,a_FP_LHCP_rx1,112,56,56,0.20993246800477,0.138233105271155,0.0716993627336142,0.461542009204155,0.769132653061224,0.769132653061224,9.17773962773168e-07,0.463809297104185,ok
caseBC_4port_geometric,BC,a_FP_RHCP_rx2,112,56,56,0.317564374845075,0.255021057654709,0.0625433171903655,0.337844025641235,0.694196428571429,0.694196428571429,0.00039863784442312,0.334591532054412,ok
caseBC_4port_geometric,BC,a_FP_LHCP_rx2,112,56,56,0.200884654211433,0.130699239625364,0.0701854145860695,0.407457060477644,0.72672193877551,0.72672193877551,3.55662492437707e-05,0.390677540714313,ok
