feature_name,gamma_CP_rx1,gamma_CP_rx2,a_FP_RHCP_rx1,a_FP_LHCP_rx1,a_FP_RHCP_rx2,a_FP_LHCP_rx2,fp_idx_diff_rx12
gamma_CP_rx1,1,-0.445236922680647,0.624487945838739,0.099460175792179,0.119886152370677,0.237013724356862,-0.21702741100543
gamma_CP_rx2,-0.445236922680647,1,-0.13237804491366,0.0167283055254148,0.34913493823616,-0.322636103045621,-0.267138209379385
a_FP_RHCP_rx1,0.624487945838739,-0.13237804491366,1,0.530549265159902,0.436375799036899,0.284043191477208,-0.386142572360216
a_FP_LHCP_rx1,0.099460175792179,0.0167283055254148,0.530549265159902,1,0.435695206459626,0.517659774059897,-0.271538647767211
a_FP_RHCP_rx2,0.119886152370677,0.34913493823616,0.436375799036899,0.435695206459626,1,0.446413151486127,-0.425443545344883
a_FP_LHCP_rx2,0.237013724356862,-0.322636103045621,0.284043191477208,0.517659774059897,0.446413151486127,1,-0.0805686549011909
fp_idx_diff_rx12,-0.21702741100543,-0.267138209379385,-0.386142572360216,-0.271538647767211,-0.425443545344883,-0.0805686549011909,1
