group_type,group_name,n_samples,n_los,n_nlos,accuracy,precision,recall,specificity,f1_score,balanced_accuracy,auc,brier_score,tp,tn,fp,fn
polarization,CP,168,151,17,0.946428571428571,0.973333333333333,0.966887417218543,0.764705882352941,0.970099667774086,0.865796649785742,0.916634203350214,0.0471337293760586,146,13,4,5
polarization,LP,168,151,17,0.767857142857143,1,0.741721854304636,1,0.85171102661597,0.870860927152318,0.956758862485392,0.167430631708038,112,17,0,39
