feature_name,mean_value,std_value
r_CP,4.87286236735456,12.0922546435518
a_FP,0.248911560750224,0.091965502268973
fp_energy_gap_db,5.69382289014271,1.47884283016229
rise_time_ns,2.80020316509993,2.19179096394338
mean_excess_delay_ns,4.71220839263428,1.92469292940292
rms_delay_spread_ns,5.07880190270231,1.67599317930289
max_excess_delay_ns,48.0385954282179,26.8482727307473
kurtosis_pdp,43.2057053700373,192.678127193182
skewness_pdp,4.06019222822193,2.50295440207697
fp_energy_db,-72.7327996851566,5.1680617583494
total_energy_db,-67.0389767950139,4.05494706189969
fp_energy_ratio,0.289091911494926,0.0840858138741588
fp_amp_norm,0.182694706428702,0.0261727328484732
peak_to_leading_db,5.55135898881862,0.685482707468549
multipath_count,72.0163690476191,15.0594007898709
ricean_k_db,-8.64497453984594,1.18384779232148
