group_type,group_name,n_samples,n_los,n_nlos,accuracy,precision,recall,specificity,f1_score,balanced_accuracy,auc,brier_score,tp,tn,fp,fn
case_name,CP_caseA,56,56,0,1,1,1,NaN,1,1,NaN,0.000326978601098301,56,0,0,0
case_name,CP_caseB,56,55,1,0.964285714285714,0.981818181818182,0.981818181818182,0,0.981818181818182,0.490909090909091,0.963636363636364,0.0292314147527407,54,0,1,1
case_name,CP_caseC,56,40,16,0.875,0.923076923076923,0.9,0.8125,0.911392405063291,0.85625,0.8609375,0.111842794774337,36,13,3,4
case_name,LP_caseA,56,56,0,0.910714285714286,1,0.910714285714286,NaN,0.953271028037383,0.910714285714286,NaN,0.0997398508967038,51,0,0,5
case_name,LP_caseB,56,55,1,0.642857142857143,1,0.636363636363636,1,0.777777777777778,0.818181818181818,0.945454545454545,0.215494441294201,35,1,0,20
case_name,LP_caseC,56,40,16,0.75,1,0.65,1,0.787878787878788,0.825,0.9140625,0.18705760293321,26,16,0,14
