feature_name,n_los,n_nlos,median_los,median_nlos,median_gap_los_minus_nlos
gamma_CP_rx1,56,56,0.711356495519579,0.462872789154859,0.24848370636472
gamma_CP_rx2,56,56,0.696849213351631,0.897925442144117,-0.201076228792486
a_FP_RHCP_rx1,56,56,0.311894837233289,0.268465865206822,0.043428972026467
a_FP_LHCP_rx1,56,56,0.184687715561861,0.101191857078666,0.0834958584831945
a_FP_RHCP_rx2,56,56,0.320010375551847,0.266619825052095,0.0533905504997518
a_FP_LHCP_rx2,56,56,0.195133788722098,0.0644825091704936,0.130651279551604
