pos_id,r_CP,a_FP,label,valid_flag,fp_idx_RHCP,fp_idx_LHCP,RSS_RHCP,RSS_LHCP,r_CP_rx1,r_CP_rx2,a_FP_RHCP_rx1,a_FP_LHCP_rx1,a_FP_RHCP_rx2,a_FP_LHCP_rx2,fp_idx_RHCP_rx1,fp_idx_LHCP_rx1,fp_idx_RHCP_rx2,fp_idx_LHCP_rx2,position_id,scenario,distance_m
1,3.54124366657617,0.257935922388932,1,1,10,10,-70.5018198530286,-62.2395899346446,5.75728933440098,1.32519799875135,0.250099987203286,0.109329911582938,0.359641474508117,0.312672316261389,10,10,10,10,1,NA,NaN
2,3.48881307262185,0.253817460618581,1,1,12.5,13,-67.2857481881916,-57.7136470720978,4.99847604925402,1.97915009598968,0.260863720454737,0.128088503578064,0.291673652415229,0.334643966026295,13,13,12,13,2,NA,NaN
3,18.6168462528277,0.247408988780534,1,1,16,16.5,-68.3546108433937,-57.4892208800038,0.908484002310319,36.3252085033451,0.291848270638763,0.176357404811029,0.394966825959784,0.12646345371256,16,17,16,16,3,NA,NaN
4,21.0126672527099,0.225444022506595,1,1,20,20.5,-66.9771560789117,-58.312905200757,0.6582816509448,41.367052854475,0.228815140187812,0.117288397870058,0.414420346828429,0.141252205140082,20,21,20,20,4,NA,NaN
5,6.65498164746715,0.212978490409145,1,1,24,25.5,-68.7068933990278,-58.2165888543413,0.42123536533484,12.8887279295995,0.280446715970672,0.187890865584386,0.263101651432212,0.12047472864931,24,26,24,25,5,NA,NaN
6,14.9013505676263,0.233466198624154,1,1,28.5,29.5,-70.9042696726178,-59.8259882452636,0.332855997176563,29.4698451380761,0.310271478037675,0.22668729784028,0.333828027539562,0.0630779910790976,28,30,29,29,6,NA,NaN
7,16.2471997848389,0.211325352909187,1,1,34,34,-66.1304255539807,-59.936483368102,2.7146522023943,29.7797473672835,0.227908778453502,0.246795124458251,0.31727661570152,0.0533208930234745,34,34,34,34,7,NA,NaN
8,17.8678821517357,0.252379515237143,1,1,7.5,7,-67.4917771938002,-58.0612899482541,31.1322734152334,4.60349088823792,0.350200311881867,0.106156984668835,0.292849710871947,0.260311053525923,8,7,7,7,8,NA,NaN
9,14.437996785601,0.240712597921359,1,1,10,10,-65.9592713430529,-55.8350866462032,3.11381974725712,25.7621738239448,0.250584598689242,0.179363526934096,0.318990268007505,0.213911998054591,10,10,10,10,9,NA,NaN
10,11.8791161342542,0.219042096449854,1,1,14,14.5,-65.838503841871,-56.2789670355377,1.88260766279095,21.8756246057174,0.265457808225021,0.169603156600952,0.34050863993237,0.100598781041074,14,14,14,15,10,NA,NaN
11,7.94751884122537,0.210554922646021,1,1,18,18.5,-66.2891780190138,-58.0424194589117,2.08620172051543,13.8088359619353,0.252263253423608,0.162242978145358,0.31100449096526,0.116708968049859,18,18,18,19,11,NA,NaN
12,7.80414492804197,0.254763800268775,1,1,23,23.5,-66.931692137646,-60.0125121631651,2.22761892847797,13.380670927606,0.301586335038324,0.240861520880198,0.391250372179115,0.0853569729774643,23,23,23,24,12,NA,NaN
13,4.74000544777675,0.259643119623321,1,1,28,29.5,-67.5638734730412,-61.2354694003732,1.25894226977225,8.22106862578126,0.326179926420622,0.151657427316679,0.399240226769557,0.161494897986424,28,29,28,30,13,NA,NaN
14,1.54456095511096,0.236869655016778,1,1,32,34.5,-69.4888213527756,-63.4623117413107,0.508200503628841,2.58092140659308,0.295598264745084,0.0990858246352858,0.336647261613983,0.216147269072758,32,34,32,35,14,NA,NaN
