label_mode,scope,feature_name,sample_id,scenario,x_m,y_m,label,feature_value,local_raw_auc,local_effective_auc,n_local,n_los_local,n_nlos_local,min_class_local,unstable_flag
geometric_class,C,gamma_CP_rx1,103,C,3.75,1.25,0,1.28849944253786,0.751552795031056,0.751552795031056,30,7,23,7,0
geometric_class,C,gamma_CP_rx1,104,C,4.5,1.25,0,0.809436070556117,0.673611111111111,0.673611111111111,30,6,24,6,0
geometric_class,C,gamma_CP_rx1,105,C,5.25,1.25,0,-0.639932291488065,0.76,0.76,30,5,25,5,0
geometric_class,C,gamma_CP_rx1,106,C,0.75,1.75,1,0.274344848918001,0.526785714285714,0.526785714285714,30,16,14,14,0
geometric_class,C,gamma_CP_rx1,107,C,1.5,1.75,0,-0.334889396599309,0.484444444444444,0.515555555555556,30,15,15,15,0
geometric_class,C,gamma_CP_rx1,108,C,2.25,1.75,0,1.51160543615932,0.526785714285714,0.526785714285714,30,14,16,14,0
geometric_class,C,gamma_CP_rx1,109,C,3,1.75,0,1.76436975258727,0.631578947368421,0.631578947368421,30,11,19,11,0
geometric_class,C,gamma_CP_rx1,110,C,3.75,1.75,0,1.03333764101386,0.751552795031056,0.751552795031056,30,7,23,7,0
geometric_class,C,gamma_CP_rx1,111,C,4.5,1.75,0,1.43353585422196,0.673611111111111,0.673611111111111,30,6,24,6,0
geometric_class,C,gamma_CP_rx1,112,C,5.25,1.75,0,0.0622035148787588,0.680555555555556,0.680555555555556,30,6,24,6,0
geometric_class,C,gamma_CP_rx2,57,C,0.75,-1.75,1,0.0417525533672905,0.230769230769231,0.769230769230769,30,17,13,13,0
geometric_class,C,gamma_CP_rx2,58,C,1.5,-1.75,1,0.683719030075102,0.28,0.72,30,15,15,15,0
geometric_class,C,gamma_CP_rx2,59,C,2.25,-1.75,0,1.37944937042094,0.325892857142857,0.674107142857143,30,14,16,14,0
geometric_class,C,gamma_CP_rx2,60,C,3,-1.75,0,1.69869565619871,0.42,0.58,30,10,20,10,0
geometric_class,C,gamma_CP_rx2,61,C,3.75,-1.75,0,2.39828322983836,0.616,0.616,30,5,25,5,0
geometric_class,C,gamma_CP_rx2,62,C,4.5,-1.75,0,1.02432293937971,0.394230769230769,0.605769230769231,30,4,26,4,1
geometric_class,C,gamma_CP_rx2,63,C,5.25,-1.75,0,1.67498043637569,0.407407407407407,0.592592592592593,30,3,27,3,1
geometric_class,C,gamma_CP_rx2,64,C,0.75,-1.25,1,0.67763672896741,0.236111111111111,0.763888888888889,30,18,12,12,0
geometric_class,C,gamma_CP_rx2,65,C,1.5,-1.25,1,1.43899935004893,0.263392857142857,0.736607142857143,30,16,14,14,0
geometric_class,C,gamma_CP_rx2,66,C,2.25,-1.25,0,1.48191564092402,0.325892857142857,0.674107142857143,30,14,16,14,0
geometric_class,C,gamma_CP_rx2,67,C,3,-1.25,0,1.70864755317129,0.439153439153439,0.560846560846561,30,9,21,9,0
geometric_class,C,gamma_CP_rx2,68,C,3.75,-1.25,0,2.17709496051148,0.432,0.568,30,5,25,5,0
geometric_class,C,gamma_CP_rx2,69,C,4.5,-1.25,1,0.998143647999965,0.407407407407407,0.592592592592593,30,3,27,3,1
geometric_class,C,gamma_CP_rx2,70,C,5.25,-1.25,0,-0.124819568971088,0.432098765432099,0.567901234567901,30,3,27,3,1
geometric_class,C,gamma_CP_rx2,71,C,0.75,-0.75,1,1.19693843818763,0.337962962962963,0.662037037037037,30,18,12,12,0
geometric_class,C,gamma_CP_rx2,72,C,1.5,-0.75,1,2.39584826671367,0.266968325791855,0.733031674208145,30,17,13,13,0
geometric_class,C,gamma_CP_rx2,73,C,2.25,-0.75,0,1.56349283813792,0.28,0.72,30,15,15,15,0
geometric_class,C,gamma_CP_rx2,74,C,3,-0.75,0,0.75890850771821,0.386243386243386,0.613756613756614,30,9,21,9,0
geometric_class,C,gamma_CP_rx2,75,C,3.75,-0.75,0,1.6206713656735,0.288461538461538,0.711538461538462,30,4,26,4,1
geometric_class,C,gamma_CP_rx2,76,C,4.5,-0.75,0,0.43199827627841,0.432098765432099,0.567901234567901,30,3,27,3,1
geometric_class,C,gamma_CP_rx2,77,C,5.25,-0.75,0,0.711693696346417,0.481481481481482,0.518518518518518,30,3,27,3,1
geometric_class,C,gamma_CP_rx2,78,C,0.75,-0.25,1,1.99094411538369,0.337962962962963,0.662037037037037,30,18,12,12,0
geometric_class,C,gamma_CP_rx2,79,C,1.5,-0.25,1,0.996931144762039,0.291666666666667,0.708333333333333,30,18,12,12,0
geometric_class,C,gamma_CP_rx2,80,C,2.25,-0.25,0,0.338252940588577,0.315555555555556,0.684444444444444,30,15,15,15,0
geometric_class,C,gamma_CP_rx2,81,C,3,-0.25,0,0.362053806693129,0.35978835978836,0.64021164021164,30,9,21,9,0
geometric_class,C,gamma_CP_rx2,82,C,3.75,-0.25,0,0.730786667073606,0.326923076923077,0.673076923076923,30,4,26,4,1
geometric_class,C,gamma_CP_rx2,83,C,4.5,-0.25,0,0.364589807908498,0.481481481481482,0.518518518518518,30,3,27,3,1
geometric_class,C,gamma_CP_rx2,84,C,5.25,-0.25,0,0.559918730271322,0.481481481481482,0.518518518518518,30,3,27,3,1
geometric_class,C,gamma_CP_rx2,85,C,0.75,0.25,1,0.317504906761655,0.365740740740741,0.634259259259259,30,18,12,12,0
geometric_class,C,gamma_CP_rx2,86,C,1.5,0.25,1,0.346381715465843,0.402777777777778,0.597222222222222,30,18,12,12,0
geometric_class,C,gamma_CP_rx2,87,C,2.25,0.25,1,0.759017516727257,0.388392857142857,0.611607142857143,30,14,16,14,0
geometric_class,C,gamma_CP_rx2,88,C,3,0.25,0,0.554458724433326,0.317460317460317,0.682539682539683,30,9,21,9,0
geometric_class,C,gamma_CP_rx2,89,C,3.75,0.25,0,1.02040728730874,0.388888888888889,0.611111111111111,30,6,24,6,0
geometric_class,C,gamma_CP_rx2,90,C,4.5,0.25,0,0.553505356722759,0.530864197530864,0.530864197530864,30,3,27,3,1
geometric_class,C,gamma_CP_rx2,91,C,5.25,0.25,0,0.43094435261617,0.506172839506173,0.506172839506173,30,3,27,3,1
geometric_class,C,gamma_CP_rx2,92,C,0.75,0.75,1,0.0299375706260504,0.407407407407407,0.592592592592593,30,18,12,12,0
geometric_class,C,gamma_CP_rx2,93,C,1.5,0.75,1,-0.0223009895828833,0.410714285714286,0.589285714285714,30,16,14,14,0
geometric_class,C,gamma_CP_rx2,94,C,2.25,0.75,1,0.320575263289799,0.379464285714286,0.620535714285714,30,14,16,14,0
geometric_class,C,gamma_CP_rx2,95,C,3,0.75,0,0.425712153911531,0.328042328042328,0.671957671957672,30,9,21,9,0
