feature_x,feature_y,gamma_cp_rx2,a_fp_rhcp_rx1,partial_dependence,pd_gamma_cp_rx2,pd_a_fp_rhcp_rx1,interaction_residual
gamma_CP_rx2,a_FP_RHCP_rx1,-0.171704561604594,0.111300941999028,0.582006448412698,0.842581845238095,0.653125,-0.117143313492063
gamma_CP_rx2,a_FP_RHCP_rx1,-0.0825034316338479,0.111300941999028,0.583792162698413,0.842581845238095,0.653125,-0.117143313492063
gamma_CP_rx2,a_FP_RHCP_rx1,0.00669769833689773,0.111300941999028,0.583792162698413,0.842581845238095,0.647991071428571,-0.117143313492063
gamma_CP_rx2,a_FP_RHCP_rx1,0.0958988283076434,0.111300941999028,0.580071924603175,0.842581845238095,0.646056547619048,-0.116771289682539
gamma_CP_rx2,a_FP_RHCP_rx1,0.185099958278389,0.111300941999028,0.580071924603175,0.842581845238095,0.638318452380952,-0.111637361111111
gamma_CP_rx2,a_FP_RHCP_rx1,0.274301088249135,0.111300941999028,0.568539186507936,0.842581845238095,0.638318452380952,-0.111637361111111
gamma_CP_rx2,a_FP_RHCP_rx1,0.36350221821988,0.111300941999028,0.563727678571429,0.842581845238095,0.623995535714286,-0.118631408730158
gamma_CP_rx2,a_FP_RHCP_rx1,0.452703348190626,0.111300941999028,0.566381448412698,0.842581845238095,0.622805059523809,-0.118308988095238
gamma_CP_rx2,a_FP_RHCP_rx1,0.541904478161372,0.111300941999028,0.559933035714286,0.842581845238095,0.584139384920635,-0.119152242063492
gamma_CP_rx2,a_FP_RHCP_rx1,0.631105608132117,0.111300941999028,0.584858630952381,0.842581845238095,0.614248511904762,-0.104196884920635
gamma_CP_rx2,a_FP_RHCP_rx1,0.720306738102863,0.111300941999028,0.620548115079365,0.842581845238095,0.876649305555556,-0.0777831944444441
gamma_CP_rx2,a_FP_RHCP_rx1,0.809507868073609,0.111300941999028,0.638330853174603,0.842581845238095,0.903807043650794,-0.068953829365079
gamma_CP_rx2,a_FP_RHCP_rx1,0.898708998044354,0.111300941999028,0.650111607142857,0.842581845238095,0.90953621031746,-0.062034186507936
gamma_CP_rx2,a_FP_RHCP_rx1,0.9879101280151,0.111300941999028,0.69296875,0.842581845238095,0.911619543650794,-0.0260842857142853
gamma_CP_rx2,a_FP_RHCP_rx1,1.07711125798585,0.111300941999028,0.699367559523809,0.842581845238095,0.911619543650794,-0.0216199999999995
gamma_CP_rx2,a_FP_RHCP_rx1,1.16631238795659,0.111300941999028,0.721465773809524,0.842581845238095,0.911619543650794,-0.00413488095238046
gamma_CP_rx2,a_FP_RHCP_rx1,1.25551351792734,0.111300941999028,0.727864583333333,0.842581845238095,0.907229662698413,0.000775833333333642
gamma_CP_rx2,a_FP_RHCP_rx1,1.34471464789808,0.111300941999028,0.727864583333333,0.842581845238095,0.90484871031746,0.000775833333333642
gamma_CP_rx2,a_FP_RHCP_rx1,1.43391577786883,0.111300941999028,0.722953869047619,0.842581845238095,0.903807043650794,-0.00175392857142809
gamma_CP_rx2,a_FP_RHCP_rx1,1.52311690783957,0.111300941999028,0.722953869047619,0.842581845238095,0.903807043650794,-0.00175392857142809
gamma_CP_rx2,a_FP_RHCP_rx1,1.61231803781032,0.111300941999028,0.722953869047619,0.842581845238095,0.903807043650794,-0.00175392857142809
gamma_CP_rx2,a_FP_RHCP_rx1,1.70151916778107,0.111300941999028,0.758147321428571,0.842581845238095,0.905667162698413,0.0245853571428575
gamma_CP_rx2,a_FP_RHCP_rx1,1.79072029775181,0.111300941999028,0.758147321428571,0.842581845238095,0.905667162698413,0.0245853571428575
gamma_CP_rx2,a_FP_RHCP_rx1,1.87992142772256,0.111300941999028,0.758147321428571,0.842581845238095,0.905667162698413,0.0245853571428575
gamma_CP_rx2,a_FP_RHCP_rx1,1.9691225576933,0.111300941999028,0.758147321428571,0.842581845238095,0.905667162698413,0.0245853571428575
gamma_CP_rx2,a_FP_RHCP_rx1,-0.171704561604594,0.123500675374702,0.582006448412698,0.844367559523809,0.653125,-0.117143313492063
gamma_CP_rx2,a_FP_RHCP_rx1,-0.0825034316338479,0.123500675374702,0.583792162698413,0.844367559523809,0.653125,-0.117143313492063
gamma_CP_rx2,a_FP_RHCP_rx1,0.00669769833689773,0.123500675374702,0.583792162698413,0.844367559523809,0.647991071428571,-0.117143313492063
gamma_CP_rx2,a_FP_RHCP_rx1,0.0958988283076434,0.123500675374702,0.580071924603175,0.844367559523809,0.646056547619048,-0.116771289682539
gamma_CP_rx2,a_FP_RHCP_rx1,0.185099958278389,0.123500675374702,0.580071924603175,0.844367559523809,0.638318452380952,-0.111637361111111
