label_target,model_name,feature_name,n_repeats,mean_auc_drop,median_auc_drop,std_auc_drop,p05_auc_drop,p95_auc_drop
material,logistic,a_FP_LHCP_rx1,100,0.0103962848297214,0.0105263157894737,0.00705074017787224,-0.00185758513931888,0.0210526315789474
material,logistic,gamma_CP_rx1,100,0.00882352941176479,0.00897832817337468,0.00612679545774877,-0.000619195046439591,0.0188854489164089
material,logistic,gamma_CP_rx2,100,0.00499690402476786,0.00433436532507736,0.00906456253030566,-0.00804953560371507,0.0241486068111456
material,logistic,a_FP_RHCP_rx1,100,0.00473684210526323,0.00433436532507747,0.00613500726553777,-0.00650154798761599,0.0148606811145511
material,logistic,a_FP_RHCP_rx2,100,0.00198761609907126,0.00185758513931888,0.0027681382786212,-0.00340557275541786,0.00619195046439625
material,logistic,a_FP_LHCP_rx2,100,-0.000458204334365282,-0.000619195046439591,0.00314945214616511,-0.00495356037151695,0.00588235294117656
material,rf,a_FP_RHCP_rx1,100,0.0153219814241486,0.0156346749226006,0.00406878844552715,0.00758513931888544,0.0213622291021672
material,rf,a_FP_LHCP_rx1,100,0.00853250773993811,0.00928792569659448,0.00400277367192977,0.000619195046439702,0.0142414860681115
material,rf,gamma_CP_rx2,100,0.000907120743034062,0.000928792569659442,0.002644014407101,-0.00278637770897838,0.00557275541795677
material,rf,a_FP_LHCP_rx2,100,-0.00010526315789475,0,0.00167749240028102,-0.00309597523219818,0.00247678018575848
material,rf,a_FP_RHCP_rx2,100,-0.000808049535603733,-0.000619195046439647,0.00252244507796389,-0.0057275541795665,0.00309597523219818
material,rf,gamma_CP_rx1,100,-0.0012538699690403,-0.00123839009287929,0.00214196208498176,-0.00464396284829727,0.00309597523219807
geometric,logistic,a_FP_LHCP_rx1,100,0.0747735969387755,0.0773278061224489,0.020394041152617,0.036670918367347,0.106505102040816
geometric,logistic,gamma_CP_rx2,100,0.0419036989795919,0.0427295918367347,0.0130277509611304,0.0207270408163265,0.0629783163265306
geometric,logistic,a_FP_RHCP_rx1,100,0.0135905612244899,0.0137117346938776,0.00825702374207957,-0.000318877551020336,0.026466836734694
geometric,logistic,gamma_CP_rx1,100,0.0125956632653062,0.0127551020408165,0.0108912232188613,-0.0060586734693876,0.0286989795918369
geometric,logistic,a_FP_LHCP_rx2,100,0.008890306122449,0.00908801020408162,0.0070377118259122,-0.00175382653061223,0.0205676020408164
geometric,logistic,a_FP_RHCP_rx2,100,-0.00686543367346942,-0.00685586734693877,0.00419637173876396,-0.0133928571428572,5.55111512312578e-17
geometric,rf,gamma_CP_rx2,100,0.0432063137755101,0.0435267857142856,0.0106485720119424,0.0263871173469387,0.0606664540816324
geometric,rf,a_FP_LHCP_rx2,100,0.0187914540816326,0.0188934948979592,0.0104125990497885,0.000318877551020391,0.0358737244897958
geometric,rf,a_FP_LHCP_rx1,100,0.00169483418367341,0.00239158163265302,0.00775672758732156,-0.010921556122449,0.0153858418367346
geometric,rf,gamma_CP_rx1,100,-0.00178252551020407,-0.00207270408163263,0.00439018510269001,-0.00797193877551017,0.00502232142857151
geometric,rf,a_FP_RHCP_rx2,100,-0.00316326530612245,-0.00294961734693888,0.00242794073729069,-0.00709502551020413,0.000398596938775475
geometric,rf,a_FP_RHCP_rx1,100,-0.0037260841836735,-0.00374681122448978,0.00473778198416758,-0.0121173469387756,0.00406568877551011
