direction,train_scenario,test_scenario,n_train,n_test,n_los_train,n_nlos_train,n_los_test,n_nlos_test,baseline_auc,proposed_auc,baseline_accuracy,proposed_accuracy,baseline_brier,proposed_brier,baseline_fp,proposed_fp,baseline_fn,proposed_fn,delta_auc,delta_accuracy,delta_brier
B_to_C,B,C,56,56,35,21,21,35,0.7578231292517007,0.8299319727891156,0.7142857142857143,0.7321428571428571,0.20202380929177907,0.20928361978682025,7,9,9,6,0.07210884353741487,0.017857142857142794,0.00725981049504118
C_to_B,C,B,56,56,21,35,35,21,0.8326530612244899,0.873469387755102,0.7142857142857143,0.8214285714285714,0.1710690052228494,0.14254697194481522,12,3,4,7,0.04081632653061207,0.1071428571428571,-0.02852203327803418
