label_mode,scope,feature_name,n,n_los,n_nlos,point_biserial,auc_raw,auc_effective,ks_stat,mi_bits,direction,status
geometric_class,B+C,a_FP_LHCP_rx2,112,56,56,0.511777035336832,0.801658163265306,0.801658163265306,0.482142857142857,0.254907528718895,higher->LoS,ok
geometric_class,B+C,a_FP_LHCP_rx1,112,56,56,0.493117773708696,0.788265306122449,0.788265306122449,0.446428571428571,0.226992433771891,higher->LoS,ok
geometric_class,B+C,a_FP_RHCP_rx1,112,56,56,0.371215616264224,0.712372448979592,0.712372448979592,0.428571428571429,0.15837735666682,higher->LoS,ok
geometric_class,B+C,a_FP_RHCP_rx2,112,56,56,0.337844025641234,0.694196428571429,0.694196428571429,0.392857142857143,0.188012592550601,higher->LoS,ok
geometric_class,B+C,gamma_CP_rx1,112,56,56,0.327397125583901,0.675382653061225,0.675382653061225,0.303571428571429,0.103851101082797,higher->LoS,ok
geometric_class,B+C,fp_idx_diff_rx12,112,56,56,-0.234082294392261,0.408163265306122,0.591836734693878,0.160714285714286,0.0226288183509164,higher->NLoS,ok
geometric_class,B+C,gamma_CP_rx2,112,56,56,-0.12031986013263,0.415816326530612,0.584183673469388,0.285714285714286,0.158483127359096,higher->NLoS,ok
