case_name,scenario,polarization,pos_id,x_m,y_m,label,valid_flag,valid_for_model,fp_energy_db,skewness_pdp,kurtosis_pdp,mean_excess_delay_ns,rms_delay_spread_ns,all_features_valid,gamma_CP_rx1,gamma_CP_rx2,a_FP_RHCP_rx1,a_FP_LHCP_rx1,a_FP_RHCP_rx2,a_FP_LHCP_rx2,label_cp7,label_match,valid_for_cp7_model,baseline_score,proposed_score,baseline_pred,proposed_pred,rescued_by_proposed,harmed_by_proposed,tag_id,geometric_class,material_class,penetration_loss_db,num_hits,hit_objects,hit_materials,criterion
CP_caseB,B,CP,22,0.75,-0.25,1,1,1,-63.0343276156632,5.50087578057937,61.1933801052869,2.14235317275795,2.22236190765463,1,0.317091818621197,1.98910037861002,0.310194213168612,0.28705841920578,0.327600137146172,0.16547611200984,1,1,1,0.953026393576397,0.959427430163819,1,1,0,0,T4,LOS,LOS,0,0,,,penetration_threshold
CP_caseB,B,CP,15,0.75,-0.75,1,1,1,-65.1575284863606,4.34972815663847,30.1000834650174,3.25958389341412,4.34453110726614,1,0.141514211758006,1.19630696516138,0.256203923335644,0.205353386430477,0.294652758116336,0.24422214901471,1,1,1,0.727599332107673,0.686502712359211,1,1,0,0,T3,LOS,LOS,0,0,,,penetration_threshold
CP_caseB,B,CP,8,0.75,-1.25,1,1,1,-67.0643403515219,4.32750557364988,28.5387725945659,3.75508595996378,5.11791545464654,1,1.14975742631263,0.67720437489183,0.331143379432282,0.158919366403981,0.287627545903632,0.266130636902166,1,1,1,0.605237767354696,0.670821782607683,1,1,0,0,T2,LOS,LOS,0,0,,,penetration_threshold
CP_caseB,B,CP,1,0.75,-1.75,1,1,1,-71.0491865901122,4.58223149519615,32.8777943868092,3.65422062931121,4.48897699903429,1,0.703876825260898,0.043232531092477,0.247563858729088,0.113303193262132,0.360469748602743,0.311432236067077,1,1,1,0.432391243549603,0.792768629140221,0,1,1,0,T1,LOS,LOS,0,0,,,penetration_threshold
CP_caseB,B,CP,29,0.75,0.25,1,1,1,-64.2666792834197,7.14191585760707,66.8868008929642,2.28880802000209,3.20644454548117,1,1.24122051545543,0.317501475435287,0.32571111915222,0.229654239626829,0.321158534447715,0.277286692869878,1,1,1,0.924674708976231,0.990245113438093,1,1,0,0,T5,LOS,LOS,0,0,,,penetration_threshold
CP_caseB,B,CP,36,0.75,0.75,1,1,1,-66.684684151421,6.33329832940502,50.8646093486104,2.62064780595407,3.99029533399025,1,0.873904012708618,0.0297860837325104,0.293940388924657,0.227468798031317,0.414435384478384,0.424810117579012,1,1,1,0.780506251796625,0.982002055445174,1,1,0,0,T6,LOS,LOS,0,0,,,penetration_threshold
CP_caseB,B,CP,43,0.75,1.25,1,1,1,-70.3087136077642,4.07224339812839,28.2972241970842,4.09900216296267,5.65537883293998,1,1.32423155867255,-0.0441450202514789,0.289146043385175,0.269075478459659,0.354919505261276,0.351571672843728,1,1,1,0.399906405875565,0.93442184659138,0,1,1,0,T7,LOS,LOS,0,0,,,penetration_threshold
CP_caseB,B,CP,50,0.75,1.75,1,1,1,-73.2371655270542,4.63576820587026,35.7154073029585,3.73721167165439,5.16255574494702,1,0.277521381250725,-0.174287721567211,0.359386343663199,0.313287454410196,0.286693824708681,0.23084804962331,1,1,1,0.306268467357187,0.815487885157573,0,1,1,0,T8,LOS,LOS,0,0,,,penetration_threshold
CP_caseB,B,CP,23,1.5,-0.25,1,1,1,-62.9106841625601,7.42555916081209,109.248656564885,2.52396961515625,2.76621595917478,1,0.266299956017718,1.21644895475826,0.365063962744766,0.34718106378997,0.381582418426363,0.293986626066207,1,1,1,0.998327599037036,0.999792741304079,1,1,0,0,T12,LOS,LOS,0,0,,,penetration_threshold
CP_caseB,B,CP,16,1.5,-0.75,1,1,1,-63.9673145077575,4.5543088835226,37.7944080762602,2.98428997771104,3.72497222991674,1,0.175567173447591,2.75691982904637,0.367169716517278,0.341594220488263,0.409627370082148,0.0690519511813393,1,1,1,0.846146376662396,0.725945682755997,1,1,0,0,T11,LOS,LOS,0,0,,,penetration_threshold
CP_caseB,B,CP,9,1.5,-1.25,1,1,1,-64.8835797791159,7.09759981045239,85.4368005257398,3.04120315273824,4.06370693522946,1,0.534491937828971,1.40388152874669,0.244151749851066,0.18551117657886,0.317922002133932,0.217786160422748,1,1,1,0.959227648570158,0.962701801887642,1,1,0,0,T10,LOS,LOS,0,0,,,penetration_threshold
CP_caseB,B,CP,2,1.5,-1.75,1,1,1,-67.477276204018,6.44282141849858,71.408320088693,3.33823194037139,3.56121522111815,1,0.750719142919264,0.719988610860292,0.257943176293421,0.128277873744673,0.289205400924424,0.213779287685853,1,1,1,0.907397510779959,0.923060137334728,1,1,0,0,T9,LOS,LOS,0,0,,,penetration_threshold
CP_caseB,B,CP,30,1.5,0.25,1,1,1,-64.0048509362148,6.20508952265222,54.4043446711689,2.6351360848193,3.22977910641822,1,0.718836165778259,0.421710337275977,0.37651663927442,0.347944119402695,0.370994709898763,0.334763356192848,1,1,1,0.903131770940324,0.995475043175519,1,1,0,0,T13,LOS,LOS,0,0,,,penetration_threshold
CP_caseB,B,CP,37,1.5,0.75,1,1,1,-66.8983797979089,5.11877062047321,40.176692562736,3.05251751894271,3.92361549276303,1,1.31331776828931,-0.00578005607616621,0.404268907281644,0.283554018433699,0.356896437473539,0.271129567989977,1,1,1,0.723025129343334,0.976028095437593,1,1,0,0,T14,LOS,LOS,0,0,,,penetration_threshold
CP_caseB,B,CP,44,1.5,1.25,1,1,1,-69.5156238873498,4.47881004296975,38.243971538077,5.35637736110544,6.44084886658402,1,1.95070265138022,-0.14845612194104,0.313595461297965,0.124387435219987,0.159108998591189,0.171722359156348,1,1,1,0.553097987918257,0.866811083853515,1,1,0,0,T15,LOS,LOS,0,0,,,penetration_threshold
CP_caseB,B,CP,51,1.5,1.75,1,1,1,-73.9498112904058,4.82305110523471,41.6193034825199,5.33310328044782,6.09340361630226,1,0.859672498454131,-0.663085338509639,0.28876035898183,0.236720751109402,0.122009816920519,0.153799359179408,1,1,1,0.306970470933001,0.886464765284672,0,1,1,0,T16,LOS,LOS,0,0,,,penetration_threshold
CP_caseB,B,CP,24,2.25,-0.25,1,1,1,-63.3917054292956,5.47713531651,43.90134752103,2.31500864554703,2.68312355847331,1,0.40939070018119,1.11081607464972,0.294467251300359,0.254699626586838,0.322603222413457,0.197257075001534,1,1,1,0.893093206040137,0.972432300111455,1,1,0,0,T20,LOS,LOS,0,0,,,penetration_threshold
CP_caseB,B,CP,17,2.25,-0.75,1,1,1,-64.6913337512379,3.98498729520973,32.2761806154532,2.54936886803296,2.32783141532406,1,0.436416812450924,1.64588789518281,0.349540726717717,0.242863159018967,0.392022238724352,0.105391111139134,1,1,1,0.814826254601651,0.800869439396056,1,1,0,0,T19,LOS,LOS,0,0,,,penetration_threshold
CP_caseB,B,CP,10,2.25,-1.25,1,1,1,-64.9699515554151,5.38639802531025,58.8254186419229,2.8119439794587,3.08827161275814,1,0.230431851318336,1.70924956063973,0.267644051781136,0.166779243456541,0.344664829484547,0.0711058657163312,1,1,1,0.918099489206131,0.778590981610113,1,1,0,0,T18,LOS,LOS,0,0,,,penetration_threshold
CP_caseB,B,CP,3,2.25,-1.75,1,1,1,-67.8266183257758,7.0376457029001,117.505497146777,3.02103985670593,3.21480356629659,1,0.540716991187168,1.71996713606137,0.288905479491629,0.136615346354216,0.393903327536546,0.127797485413966,1,1,1,0.983981502796368,0.967059766495526,1,1,0,0,T17,LOS,LOS,0,0,,,penetration_threshold
CP_caseB,B,CP,31,2.25,0.25,1,1,1,-63.9671444425505,6.79429647951876,73.9153801417507,2.19008542335247,2.29560304176297,1,0.651793810434081,0.70997939662816,0.304704216716531,0.242966482585243,0.31032410626466,0.212410519007562,1,1,1,0.959234754916605,0.989676084523482,1,1,0,0,T21,LOS,LOS,0,0,,,penetration_threshold
CP_caseB,B,CP,38,2.25,0.75,1,1,1,-66.9157543495037,4.82591584750012,38.2509893245467,2.71545875131745,3.35691218131493,1,1.3176366369459,0.373194531726614,0.402030678937979,0.171974989978139,0.376249681853353,0.215742494905161,1,1,1,0.709349621612971,0.90796870696442,1,1,0,0,T22,LOS,LOS,0,0,,,penetration_threshold
CP_caseB,B,CP,45,2.25,1.25,1,1,1,-68.9647796553529,4.27257169958632,36.7754361090631,3.78098158626884,4.34243706303411,1,1.37484941959414,-0.0503832617373541,0.345614187564115,0.0838113016960008,0.219455698218455,0.151173733395314,1,1,1,0.611639986425143,0.700947283678205,1,1,0,0,T23,LOS,LOS,0,0,,,penetration_threshold
CP_caseB,B,CP,52,2.25,1.75,1,1,1,-72.1265611084104,4.74935311849544,42.4539622955857,5.00204512243115,5.74730913037209,1,1.21027951008887,-0.114475078338371,0.381335959452624,0.175462632506741,0.0841121066608804,0.0385475411945588,1,1,1,0.501689661215172,0.621053248683826,1,1,0,0,T24,LOS,LOS,0,0,,,penetration_threshold
