group_type,group_name,n_samples,baseline_errors,proposed_errors,rescued_by_proposed,harmed_by_proposed,net_error_gain,rescue_rate_given_baseline_error
scenario,B,56,11,5,7,1,6,0.636363636363636
scenario,C,56,15,12,5,2,3,0.333333333333333
