cp7_feature,baseline_feature,pearson_r,pearson_p,spearman_rho,spearman_p,abs_pearson_r,abs_spearman_rho
a_FP_LHCP_rx1,fp_energy_db,0.457441142035743,3.96645649387012e-07,0.572427990569584,0,0.457441142035743,0.572427990569584
a_FP_LHCP_rx1,kurtosis_pdp,0.36072504548746,9.34025325819401e-05,0.431176751973212,2.63150002408359e-06,0.36072504548746,0.431176751973212
a_FP_LHCP_rx1,mean_excess_delay_ns,-0.360693126527509,9.35459970181626e-05,-0.505586496736939,2.08150896639383e-08,0.360693126527509,0.505586496736939
a_FP_LHCP_rx1,rms_delay_spread_ns,-0.276609146831362,0.00315368506266273,-0.400049543854854,1.47060217334567e-05,0.276609146831362,0.400049543854854
a_FP_LHCP_rx1,skewness_pdp,0.436164708187825,1.53116285616936e-06,0.471554993678888,2.19604353313101e-07,0.436164708187825,0.471554993678888
a_FP_LHCP_rx2,fp_energy_db,0.437455722960818,1.41431986491655e-06,0.532553729456384,2.38669771364942e-09,0.437455722960818,0.532553729456384
a_FP_LHCP_rx2,kurtosis_pdp,0.28666280404272,0.00218179779884578,0.366633067960502,7.85699564882382e-05,0.28666280404272,0.366633067960502
a_FP_LHCP_rx2,mean_excess_delay_ns,-0.349726947832935,0.000157003836970392,-0.428024737759251,3.15551650506877e-06,0.349726947832935,0.428024737759251
a_FP_LHCP_rx2,rms_delay_spread_ns,-0.29595087526194,0.00153385788742327,-0.376986025216114,4.76100261328211e-05,0.29595087526194,0.376986025216114
a_FP_LHCP_rx2,skewness_pdp,0.35114590591335,0.000146984140411682,0.391464789694878,2.29932062821969e-05,0.35114590591335,0.391464789694878
a_FP_RHCP_rx1,fp_energy_db,0.589654499698374,7.89849200840587e-12,0.473869887586702,1.88679434191193e-07,0.589654499698374,0.473869887586702
a_FP_RHCP_rx1,kurtosis_pdp,0.414642949985001,5.48630955083638e-06,0.487878839648751,7.34833045222468e-08,0.414642949985001,0.487878839648751
a_FP_RHCP_rx1,mean_excess_delay_ns,-0.657887095518584,3.25090506195181e-15,-0.524353367273721,4.83500792903743e-09,0.657887095518584,0.524353367273721
a_FP_RHCP_rx1,rms_delay_spread_ns,-0.46555442790426,2.3122699720327e-07,-0.380257628045239,4.05035082258598e-05,0.46555442790426,0.380257628045239
a_FP_RHCP_rx1,skewness_pdp,0.581149703954595,1.84253837966031e-11,0.541847473263403,9.72144941549858e-10,0.581149703954595,0.541847473263403
a_FP_RHCP_rx2,fp_energy_db,0.644162299689937,1.82712689431596e-14,0.592365121126183,0,0.644162299689937,0.592365121126183
a_FP_RHCP_rx2,kurtosis_pdp,0.333814929088364,0.000322057005035672,0.359355246523388,0.000110678801942579,0.333814929088364,0.359355246523388
a_FP_RHCP_rx2,mean_excess_delay_ns,-0.552474958187621,2.69666107743811e-10,-0.577271329483719,0,0.552474958187621,0.577271329483719
a_FP_RHCP_rx2,rms_delay_spread_ns,-0.487616022803344,4.95758713658667e-08,-0.530811152492568,2.78730415708228e-09,0.487616022803344,0.530811152492568
a_FP_RHCP_rx2,skewness_pdp,0.406999755202239,8.45500193522709e-06,0.388321317524857,2.70034776888539e-05,0.406999755202239,0.388321317524857
gamma_CP_rx1,fp_energy_db,0.34739792078016,0.000174834068806272,0.183944374209861,0.0523181935283909,0.34739792078016,0.183944374209861
gamma_CP_rx1,kurtosis_pdp,0.240683899173168,0.0105798462588522,0.371997471554994,6.0729164473427e-05,0.240683899173168,0.371997471554994
gamma_CP_rx1,mean_excess_delay_ns,-0.408507142983003,7.77021541585883e-06,-0.244105989681211,0.00964443870363395,0.408507142983003,0.244105989681211
gamma_CP_rx1,rms_delay_spread_ns,-0.25744268852429,0.00613827157418482,-0.146171455905969,0.123976367130189,0.25744268852429,0.146171455905969
gamma_CP_rx1,skewness_pdp,0.382798769885024,3.10641512368947e-05,0.392891311032904,2.13645691108795e-05,0.382798769885024,0.392891311032904
gamma_CP_rx2,fp_energy_db,0.32427844052899,0.000486477808537369,0.331397136706871,0.000384601646714905,0.32427844052899,0.331397136706871
gamma_CP_rx2,kurtosis_pdp,0.111978340806967,0.239805182675363,0.0352615573854512,0.711653893831477,0.111978340806967,0.0352615573854512
gamma_CP_rx2,mean_excess_delay_ns,-0.204384609759076,0.0306481996869274,-0.272773089144771,0.0037202640028701,0.204384609759076,0.272773089144771
gamma_CP_rx2,rms_delay_spread_ns,-0.279466512496292,0.00284402041963653,-0.353956674753135,0.000141997714370855,0.279466512496292,0.353956674753135
gamma_CP_rx2,skewness_pdp,0.0432282814498471,0.650862357306309,0.0236187514948577,0.804489458610545,0.0432282814498471,0.0236187514948577
