case_name,scenario,polarization,pos_id,x_m,y_m,label,r_CP,a_FP,fp_energy_db,mean_excess_delay_ns,baseline_score,proposed_score,baseline_pred,proposed_pred,baseline_wrong,proposed_wrong,rescued_by_proposed,harmed_by_proposed,score_delta_proposed_minus_baseline
CP_caseC,C,CP,18,3,-0.75,0,0.340697111037047,0.211304001535072,-71.7854550935605,4.20400678786231,0.544139765274603,0.487737372583676,1,0,1,0,1,0,-0.0564023926909262
LP_caseB,B,LP,51,1.5,1.75,1,25.2390649782474,0.201314615819686,-77.1923842471351,4.40024970835733,0.370311421350234,0.500952590087882,0,1,1,0,1,0,0.130641168737647
LP_caseB,B,LP,55,4.5,1.75,1,12.6960697275657,0.323924561683959,-75.0323350613357,3.76261211227704,0.471127608885441,0.577051708584045,0,1,1,0,1,0,0.105924099698604
CP_caseC,C,CP,41,4.5,0.75,1,1.19253897642827,0.2910097466933,-72.5607024160985,3.92747827967416,0.502305637290587,0.481531090094161,1,0,0,1,0,1,-0.0207745471964261
CP_caseC,C,CP,52,2.25,1.75,0,57.2488547259908,0.340708650362504,-75.255641512563,4.19191201515501,0.405495035054113,0.911787024894529,0,1,0,1,0,1,0.506291989840416
CP_caseC,C,CP,56,5.25,1.75,0,21.9750363074842,0.273447158413347,-77.2668287889044,5.37097193662205,0.415547167280969,0.513440163367398,0,1,0,1,0,1,0.0978929960864286
LP_caseA,A,LP,9,1.5,-1.25,1,1.07764359840681,0.222426940637606,-74.1262348187954,4.88119210898218,0.501364589841243,0.46021494376807,1,0,0,1,0,1,-0.0411496460731737
LP_caseA,A,LP,13,4.5,-1.25,1,0.715436365872647,0.122893694882348,-75.5056599183366,4.52847086814782,0.540536672323952,0.496717356872286,1,0,0,1,0,1,-0.0438193154516655
LP_caseA,A,LP,21,5.25,-0.75,1,0.722546728569071,0.127361487780753,-77.2830837616759,5.01089689010955,0.511191306425553,0.486393569245104,1,0,0,1,0,1,-0.0247977371804484
LP_caseA,A,LP,23,1.5,-0.25,1,0.667215088435308,0.310511315303985,-71.5491225187226,4.1616252411725,0.552799460287098,0.495628971753488,1,0,0,1,0,1,-0.0571704885336099
LP_caseA,A,LP,47,3.75,1.25,1,1.6708547521343,0.178163526982283,-75.734644197491,5.9658386339742,0.502649394107721,0.491969956422118,1,0,0,1,0,1,-0.0106794376856029
LP_caseB,B,LP,4,3,-1.75,1,0.807606088551567,0.165828133889416,-74.3235795669218,4.36012180368759,0.525404895254213,0.493927082404153,1,0,0,1,0,1,-0.0314778128500598
LP_caseB,B,LP,29,0.75,0.25,1,0.736212443740402,0.250283713480223,-70.9636203313246,4.1274858728091,0.535499083558705,0.484860915793017,1,0,0,1,0,1,-0.0506381677656877
LP_caseC,C,LP,2,1.5,-1.75,1,0.946756488524215,0.239941227755439,-74.7967180621687,4.53940218598882,0.515514529967025,0.48432230026131,1,0,0,1,0,1,-0.0311922297057151
LP_caseC,C,LP,56,5.25,1.75,0,6.808820748841,0.247453141086097,-75.5413576600909,3.61190503253319,0.495166825898115,0.510062738248163,0,1,0,1,0,1,0.0148959123500487
CP_caseA,A,CP,1,0.75,-1.75,1,0.103757836640253,0.250099987203325,-71.0490327455368,3.76408888338046,0.668102368765131,0.601654723994981,1,1,0,0,0,0,-0.06644764477015
CP_caseA,A,CP,2,1.5,-1.75,1,0.0986975500252196,0.26086372045475,-67.4773195281015,3.22613571045638,0.916229063036127,0.905498542906043,1,1,0,0,0,0,-0.0107305201300845
CP_caseA,A,CP,3,2.25,-1.75,1,0.0605421037481592,0.291848270638763,-67.8305723526483,2.99039031650069,0.709440683542015,0.697276814971666,1,1,0,0,0,0,-0.0121638685703488
CP_caseA,A,CP,4,3,-1.75,1,0.0750963103561886,0.228815140187809,-67.2363748475074,2.86927801647535,0.980612317851535,0.972614201537288,1,1,0,0,0,0,-0.00799811631424652
CP_caseA,A,CP,5,3.75,-1.75,1,0.0952130177580176,0.280446715970564,-67.7853779261301,2.86229661520176,0.980664253943543,0.973569238211044,1,1,0,0,0,0,-0.00709501573249927
CP_caseA,A,CP,6,4.5,-1.75,1,0.0725088330057412,0.310271478037676,-69.6647219314655,2.56257411674023,0.888278513856386,0.864910377766177,1,1,0,0,0,0,-0.0233681360902089
CP_caseA,A,CP,7,5.25,-1.75,1,0.172555485677451,0.2279087784535,-68.1615667219754,2.66022476068401,0.916356025757605,0.900537113070366,1,1,0,0,0,0,-0.015818912687239
CP_caseA,A,CP,8,0.75,-1.25,1,0.136339910439641,0.350200311881892,-67.0646093222768,3.28467691725725,0.918452862947003,0.885768766953064,1,1,0,0,0,0,-0.0326840959939392
CP_caseA,A,CP,9,1.5,-1.25,1,0.076341110283287,0.250584598689422,-64.8836162130722,2.80169519429085,0.947824483919838,0.941606309280135,1,1,0,0,0,0,-0.00621817463970342
CP_caseA,A,CP,10,2.25,-1.25,1,0.0862807055119183,0.265457808225013,-64.942835667279,2.73455725657454,0.995084051083132,0.993489892425764,1,1,0,0,0,0,-0.00159415865736812
CP_caseA,A,CP,11,3,-1.25,1,0.121453903117927,0.252263253423745,-66.1509332583669,2.85395285447429,0.922043726021538,0.911823703422396,1,1,0,0,0,0,-0.0102200225991416
CP_caseA,A,CP,12,3.75,-1.25,1,0.156689140579162,0.301586335038467,-68.3118626601351,3.38949146886999,0.843433475774977,0.815872958885685,1,1,0,0,0,0,-0.0275605168892924
CP_caseA,A,CP,13,4.5,-1.25,1,0.19027535003786,0.326179926420629,-69.0995332807945,3.33618014694565,0.746498313534694,0.712978972801023,1,1,0,0,0,0,-0.033519340733671
CP_caseA,A,CP,14,5.25,-1.25,1,0.219217809086797,0.295598264744949,-70.2225645293412,2.93609349096642,0.707276682845633,0.674378777411182,1,1,0,0,0,0,-0.0328979054344504
CP_caseA,A,CP,15,0.75,-0.75,1,0.0622137676357547,0.27095506132375,-65.1573087763006,2.9097844037584,0.924488303770616,0.904531869838824,1,1,0,0,0,0,-0.019956433931792
CP_caseA,A,CP,16,1.5,-0.75,1,0.10632784999985,0.382092699938293,-63.9679487423942,2.60630097150156,0.999259148323861,0.998768176613298,1,1,0,0,0,0,-0.000490971710562893
