group_type,group_name,n_samples,baseline_errors,proposed_errors,rescued_by_proposed,harmed_by_proposed,net_error_gain,rescue_rate_given_baseline_error
case_name,CP_caseC,56,17,19,1,3,-2,0.0588235294117647
case_name,LP_caseB,56,25,25,2,2,0,0.08
case_name,LP_caseA,56,38,43,0,5,-5,0
case_name,LP_caseC,56,20,22,0,2,-2,0
case_name,CP_caseA,56,0,0,0,0,0,NaN
case_name,CP_caseB,56,17,17,0,0,0,0
