model_name,group_name,n_samples,n_los,n_nlos,accuracy,precision,recall,specificity,f1_score,balanced_accuracy,auc,brier_score,tp,tn,fp,fn
baseline,baseline,92,67,25,0.41304347826087,0.658536585365854,0.402985074626866,0.44,0.5,0.421492537313433,0.391641791044776,0.267510972790625,27,11,14,40
proposed,proposed,92,67,25,0.304347826086957,0.542857142857143,0.283582089552239,0.36,0.372549019607843,0.321791044776119,0.346865671641791,0.276138141454838,19,9,16,48
