model_name,group_name,n_samples,n_los,n_nlos,accuracy,precision,recall,specificity,f1_score,balanced_accuracy,auc,brier_score,tp,tn,fp,fn
baseline,baseline,336,224,112,0.651785714285714,0.798882681564246,0.638392857142857,0.678571428571429,0.709677419354839,0.658482142857143,0.763950892857143,0.198346686708251,143,76,36,81
proposed,proposed,336,224,112,0.625,0.781609195402299,0.607142857142857,0.660714285714286,0.683417085427136,0.633928571428571,0.766342474489796,0.197180311515638,136,74,38,88
