term,coefficient,abs_coefficient
intercept,2.16390228602411,2.16390228602411
r_CP,-0.226793093220393,0.226793093220393
a_FP,1.08550041899415,1.08550041899415
fp_energy_gap_db,-0.0920666201142161,0.0920666201142161
rise_time_ns,0.367549186271984,0.367549186271984
mean_excess_delay_ns,-0.454318950462021,0.454318950462021
rms_delay_spread_ns,-0.163738552559767,0.163738552559767
max_excess_delay_ns,0.934262950771224,0.934262950771224
kurtosis_pdp,0.192143186843811,0.192143186843811
skewness_pdp,1.17406819687659,1.17406819687659
fp_energy_db,0.770272032140908,0.770272032140908
total_energy_db,0.948140953036055,0.948140953036055
fp_energy_ratio,-0.664749414911045,0.664749414911045
fp_amp_norm,-0.0109396050073616,0.0109396050073616
peak_to_leading_db,-0.112158761997571,0.112158761997571
multipath_count,0.0939709629732675,0.0939709629732675
ricean_k_db,-0.138879342150673,0.138879342150673
