group_type,group_name,n_samples,n_los,n_nlos,accuracy,precision,recall,specificity,f1_score,balanced_accuracy,auc,brier_score,tp,tn,fp,fn
scenario,A,112,112,0,0.955357142857143,1,0.955357142857143,NaN,0.97716894977169,0.955357142857143,NaN,0.050033414748901,107,0,0,5
scenario,B,112,110,2,0.803571428571429,0.988888888888889,0.809090909090909,0.5,0.89,0.654545454545455,0.868181818181818,0.122362928023471,89,1,1,21
scenario,C,112,80,32,0.8125,0.953846153846154,0.775,0.90625,0.855172413793103,0.840625,0.86875,0.149450198853773,62,29,3,18
