feature,auc_raw,auc_best_direction,los_higher
fp_energy_db,0.909524737047137,0.909524737047137,1
total_energy_db,0.908161277756136,0.908161277756136,1
skewness_pdp,0.875827814569536,0.875827814569536,1
kurtosis_pdp,0.864725360342813,0.864725360342813,1
mean_excess_delay_ns,0.135469419555902,0.864530580444098,0
a_FP,0.837943124269575,0.837943124269575,1
fp_energy_gap_db,0.190007791195949,0.809992208804051,0
fp_energy_ratio,0.80862874951305,0.80862874951305,1
fp_amp_norm,0.806680950525906,0.806680950525906,1
ricean_k_db,0.802298402804831,0.802298402804831,1
rms_delay_spread_ns,0.207343202181535,0.792656797818465,0
multipath_count,0.222876899104012,0.777123100895988,0
rise_time_ns,0.303515777171796,0.696484222828204,0
r_CP,0.612095831710168,0.612095831710168,1
peak_to_leading_db,0.40485001947799,0.59514998052201,0
max_excess_delay_ns,0.420919361121932,0.579080638878068,0
