feature_name,mean_los,std_los,mean_nlos,std_nlos,mean_gap_los_minus_nlos
r_CP,5.08741718672108,12.3238083334997,2.96711073651073,9.74281437444766,2.12030645021035
a_FP,0.26090142974527,0.0851534300328983,0.142413312617762,0.0819631187258692,0.118488117127507
fp_energy_gap_db,5.4963185532401,1.30404035680691,7.44812611792477,1.77833752375031,-1.95180756468468
rise_time_ns,2.61562966781813,1.73166672874456,4.43965011154408,4.2819204380386,-1.82402044372595
mean_excess_delay_ns,4.43082279171914,1.62712047567687,7.21157461252759,2.50925888407071,-2.78075182080845
rms_delay_spread_ns,4.89784392432031,1.54621259688761,6.68613453421294,1.93569079460636,-1.78829060989263
max_excess_delay_ns,47.780267280036,28.1251797285463,50.3331572150097,9.81658408168443,-2.55288993497371
kurtosis_pdp,46.7731167554348,202.950137542073,11.5186983585655,5.58797172332848,35.2544183968693
skewness_pdp,4.27497970952113,2.54051268885215,2.15237401197617,0.744705929403717,2.12260569754495
fp_energy_db,-71.891640227627,4.5096864623065,-80.2042748667425,4.65243546254972,8.31263463911546
total_energy_db,-66.3953216743869,3.54414613261743,-72.7561487488177,3.85720499862913,6.36082707443082
fp_energy_ratio,0.299011798673755,0.0789627250098579,0.200979972435911,0.0774868613246774,0.0980318262378439
fp_amp_norm,0.185680779148961,0.0247607219259113,0.156171354619343,0.0235658215572878,0.029509424529618
peak_to_leading_db,5.52761222271075,0.684343666010305,5.76228614660036,0.668848397595958,-0.23467392388961
multipath_count,70.3807947019868,14.0343916221388,86.5441176470588,16.2398535442058,-16.1633229450721
ricean_k_db,-8.50379265455562,1.09585102614479,-9.89900187389528,1.21288357390926,1.39520921933966
