label_mode,scope,top_feature,top_importance,second_feature,second_importance
material_class,C,a_FP_LHCP_rx1,0.71700936831742,gamma_CP_rx1,0.692596644618404
material_class,B+C,a_FP_RHCP_rx1,0.859730046867305,gamma_CP_rx1,0.616110054074053
