label_mode,scope,group_display,x_m,y_m,n_finite,winner_feature,runner_feature,winner_auc,runner_auc,margin,min_class_local,unstable_flag,stable_flag,fp_idx_rank,fp_idx_auc,fp_idx_gap_to_best
geometric_class,B,Geometric / B,3.75,1.25,7,gamma_CP_rx1,gamma_CP_rx2,1,0.703703703703704,0.296296296296296,6,0,1,7,0.555555555555556,0.444444444444444
geometric_class,B,Geometric / B,3.75,1.75,7,gamma_CP_rx1,a_FP_LHCP_rx1,0.964285714285714,0.714285714285714,0.25,7,0,1,6,0.571428571428571,0.392857142857143
geometric_class,B,Geometric / B,4.5,-1.75,7,gamma_CP_rx2,a_FP_LHCP_rx2,0.96,0.78,0.18,5,0,1,5,0.51,0.45
geometric_class,B,Geometric / B,4.5,-1.25,7,gamma_CP_rx2,a_FP_LHCP_rx2,0.96,0.76,0.2,5,0,1,7,0.51,0.45
geometric_class,B,Geometric / B,4.5,-0.75,7,gamma_CP_rx2,a_FP_RHCP_rx1,0.972222222222222,0.777777777777778,0.194444444444444,3,1,0,6,0.569444444444444,0.402777777777778
geometric_class,B,Geometric / B,4.5,-0.25,7,a_FP_LHCP_rx1,gamma_CP_rx2,1,0.928571428571428,0.071428571428572,1,1,0,6,0.535714285714286,0.464285714285714
geometric_class,B,Geometric / B,4.5,0.25,7,gamma_CP_rx1,a_FP_LHCP_rx1,1,1,0,1,1,0,7,0.535714285714286,0.464285714285714
geometric_class,B,Geometric / B,4.5,0.75,7,gamma_CP_rx1,a_FP_RHCP_rx1,0.977272727272727,0.840909090909091,0.136363636363636,4,1,0,6,0.545454545454545,0.431818181818182
geometric_class,B,Geometric / B,4.5,1.25,7,gamma_CP_rx1,a_FP_RHCP_rx1,0.96,0.78,0.18,5,0,1,5,0.55,0.41
geometric_class,B,Geometric / B,4.5,1.75,7,gamma_CP_rx1,a_FP_RHCP_rx1,0.962962962962963,0.777777777777778,0.185185185185185,6,0,1,5,0.555555555555556,0.407407407407407
geometric_class,B,Geometric / B,5.25,-1.75,7,gamma_CP_rx2,a_FP_LHCP_rx2,0.977272727272727,0.727272727272727,0.25,4,1,0,7,0.522727272727273,0.454545454545454
geometric_class,B,Geometric / B,5.25,-1.25,7,gamma_CP_rx2,a_FP_RHCP_rx1,0.972222222222222,0.861111111111111,0.111111111111111,3,1,0,6,0.569444444444444,0.402777777777778
geometric_class,B,Geometric / B,5.25,-0.75,7,gamma_CP_rx2,a_FP_RHCP_rx1,0.961538461538462,0.923076923076923,0.038461538461539,2,1,0,6,0.653846153846154,0.307692307692308
geometric_class,B,Geometric / B,5.25,-0.25,0,,,NaN,NaN,NaN,0,1,0,NaN,NaN,NaN
geometric_class,B,Geometric / B,5.25,0.25,7,a_FP_RHCP_rx1,gamma_CP_rx1,1,0.928571428571428,0.071428571428572,1,1,0,7,0.535714285714286,0.464285714285714
geometric_class,B,Geometric / B,5.25,0.75,7,gamma_CP_rx1,a_FP_LHCP_rx1,0.972222222222222,0.972222222222222,0,3,1,0,6,0.541666666666667,0.430555555555555
geometric_class,B,Geometric / B,5.25,1.25,7,gamma_CP_rx1,a_FP_RHCP_rx1,0.977272727272727,0.909090909090909,0.068181818181818,4,1,0,5,0.545454545454545,0.431818181818182
geometric_class,B,Geometric / B,5.25,1.75,7,gamma_CP_rx1,a_FP_RHCP_rx1,0.98,0.92,0.0599999999999999,5,0,1,6,0.55,0.43
geometric_class,C,Geometric / C,0.75,-1.75,7,gamma_CP_rx1,fp_idx_diff_rx12,0.76,0.7,0.0600000000000001,5,0,1,2,0.7,0.0600000000000001
