label_mode,scope,group_display,status,n_coords_total,n_margin_valid,mean_margin_all,median_margin_all,mean_margin_stable,median_margin_stable,share_margin_lt_005_all,share_margin_lt_005_stable
geometric_class,B,Geometric / B,ok,56,42,0.121973211973212,0.111111111111111,0.182408963585434,0.185185185185185,0.261904761904762,0.117647058823529
geometric_class,C,Geometric / C,ok,56,56,0.104485557431986,0.104707792207792,0.0803086419753086,0.0567857142857145,0.303571428571429,0.416666666666667
geometric_class,B+C,Geometric / B+C,ok,56,56,0.0583992131905604,0.0493827160493829,0.0543199211709443,0.048611111111111,0.535714285714286,0.513513513513513
material_class,B,Material / B,skipped,0,0,NaN,NaN,NaN,NaN,NaN,NaN
material_class,C,Material / C,ok,56,56,0.0624841560555846,0.055555555555556,0.0579751729751729,0.055555555555556,0.428571428571429,0.423076923076923
material_class,B+C,Material / B+C,ok,56,56,0.0614542453525476,0.044258373205742,0.049815982072847,0.044258373205742,0.535714285714286,0.576923076923077
