Row,fp_energy_db,skewness_pdp,kurtosis_pdp,mean_excess_delay_ns,rms_delay_spread_ns,gamma_CP_rx1,gamma_CP_rx2,a_FP_RHCP_rx1,a_FP_LHCP_rx1,a_FP_RHCP_rx2,a_FP_LHCP_rx2
fp_energy_db,1,0.616522021389278,0.611524925684218,-0.869785082174463,-0.836214849489186,0.183944374209861,0.331397136706871,0.473869887586702,0.572427990569584,0.592365121126183,0.532553729456384
skewness_pdp,0.616522021389278,1,0.970435985922712,-0.755056890012642,-0.614309632008747,0.392891311032904,0.0236187514948577,0.541847473263403,0.471554993678888,0.388321317524857,0.391464789694878
kurtosis_pdp,0.611524925684218,0.970435985922712,1,-0.730729148870742,-0.641097481805446,0.371997471554994,0.0352615573854512,0.487878839648751,0.431176751973212,0.359355246523388,0.366633067960502
mean_excess_delay_ns,-0.869785082174463,-0.755056890012642,-0.730729148870742,1,0.925863600642362,-0.244105989681211,-0.272773089144771,-0.524353367273721,-0.505586496736939,-0.577271329483719,-0.428024737759251
rms_delay_spread_ns,-0.836214849489186,-0.614309632008747,-0.641097481805446,0.925863600642362,1,-0.146171455905969,-0.353956674753135,-0.380257628045239,-0.400049543854854,-0.530811152492568,-0.376986025216114
gamma_CP_rx1,0.183944374209861,0.392891311032904,0.371997471554994,-0.244105989681211,-0.146171455905969,1,-0.497958451498275,0.569455359278368,0.0968069839751256,0.0686694912358629,0.216241842348037
gamma_CP_rx2,0.331397136706871,0.0236187514948577,0.0352615573854512,-0.272773089144771,-0.353956674753135,-0.497958451498275,1,-0.216583524105648,-0.00492021730959784,0.27150886664161,-0.271030512180955
a_FP_RHCP_rx1,0.473869887586702,0.541847473263403,0.487878839648751,-0.524353367273721,-0.380257628045239,0.569455359278368,-0.216583524105648,1,0.535748453890047,0.355485700618444,0.274182526394916
a_FP_LHCP_rx1,0.572427990569584,0.471554993678888,0.431176751973212,-0.505586496736939,-0.400049543854854,0.0968069839751256,-0.00492021730959784,0.535748453890047,1,0.467420644411795,0.545981822530495
a_FP_RHCP_rx2,0.592365121126183,0.388321317524857,0.359355246523388,-0.577271329483719,-0.530811152492568,0.0686694912358629,0.27150886664161,0.355485700618444,0.467420644411795,1,0.475877267912666
a_FP_LHCP_rx2,0.532553729456384,0.391464789694878,0.366633067960502,-0.428024737759251,-0.376986025216114,0.216241842348037,-0.271030512180955,0.274182526394916,0.545981822530495,0.475877267912666,1
