case_name,feature_name,n_samples,n_los,n_nlos,auc_raw,auc_best_direction,los_median,los_min,los_max,nlos_median,nlos_min,nlos_max,perfect_separation,separation_direction,threshold_candidate,separation_margin
CP_caseB,gamma_CP_rx1,56,55,1,0.909090909090909,0.909090909090909,0.628084556326829,-0.572306602282194,1.95070265138022,0.19380489157641,0.19380489157641,0.19380489157641,0,none,NaN,NaN
CP_caseB,gamma_CP_rx2,56,55,1,0.690909090909091,0.690909090909091,0.995004402860803,-0.663085338509639,2.75691982904637,0.686988654440719,0.686988654440719,0.686988654440719,0,none,NaN,NaN
CP_caseB,a_FP_RHCP_rx1,56,55,1,0.981818181818182,0.981818181818182,0.300771628697052,0.110266481291145,0.434588377105616,0.206336340096606,0.206336340096606,0.206336340096606,0,none,NaN,NaN
CP_caseB,a_FP_LHCP_rx1,56,55,1,0.6,0.6,0.140827567141875,0.0197099774910406,0.347944119402695,0.125680842623223,0.125680842623223,0.125680842623223,0,none,NaN,NaN
CP_caseB,a_FP_RHCP_rx2,56,55,1,0.272727272727273,0.727272727272727,0.31032410626466,0.0841121066608804,0.444701616080999,0.365608043985741,0.365608043985741,0.365608043985741,0,none,NaN,NaN
CP_caseB,a_FP_LHCP_rx2,56,55,1,0.218181818181818,0.781818181818182,0.107253278127376,0.00428737540841256,0.424810117579012,0.217493876556104,0.217493876556104,0.217493876556104,0,none,NaN,NaN
CP_caseC,gamma_CP_rx1,56,40,16,0.7703125,0.7703125,0.648117117590527,-0.639932291488065,1.87238442608752,-0.0551447753267849,-0.642434587628712,1.51160543615932,0,none,NaN,NaN
CP_caseC,gamma_CP_rx2,56,40,16,0.5828125,0.5828125,0.698322038174761,-0.209968549322467,2.39828322983836,0.553982040578042,-0.998242849158153,1.6206713656735,0,none,NaN,NaN
CP_caseC,a_FP_RHCP_rx1,56,40,16,0.80625,0.80625,0.299335699169402,0.0934020728623139,0.424934177851114,0.193089871329559,0.0565539251282476,0.340728962824312,0,none,NaN,NaN
CP_caseC,a_FP_LHCP_rx1,56,40,16,0.7515625,0.7515625,0.136576614180514,0.022240046333195,0.310027905505098,0.0537744028136979,0.00204988248945094,0.257622754120585,0,none,NaN,NaN
CP_caseC,a_FP_RHCP_rx2,56,40,16,0.8640625,0.8640625,0.308688323402732,0.106806948415736,0.422949487006762,0.154334582322655,0.0490768945313646,0.354051506048225,0,none,NaN,NaN
CP_caseC,a_FP_LHCP_rx2,56,40,16,0.7125,0.7125,0.174639928102364,0.00906592383153464,0.394561476744714,0.053898230988183,0.00810310398970727,0.229472578833687,0,none,NaN,NaN
