cp7_feature,max_abs_pearson_top3,mean_abs_pearson_top3,max_abs_spearman_top3,mean_abs_spearman_top3
gamma_CP_rx2,0.32427844052899,0.159828354261935,0.331397136706871,0.130092481862393
gamma_CP_rx1,0.382798769885024,0.323626863279451,0.392891311032904,0.316277718932586
a_FP_LHCP_rx2,0.437455722960818,0.358421477638963,0.532553729456384,0.430217195703921
a_FP_RHCP_rx2,0.644162299689937,0.46165899466018,0.592365121126183,0.44668056172481
a_FP_LHCP_rx1,0.457441142035743,0.418110298570343,0.572427990569584,0.491719912073894
a_FP_RHCP_rx1,0.589654499698374,0.52848238454599,0.541847473263403,0.501198733499619
