Row,fp_energy_db,skewness_pdp,kurtosis_pdp,mean_excess_delay_ns,rms_delay_spread_ns
gamma_CP_rx1,0.347397920780159,0.382798769885024,0.240683899173168,0.408507142983003,0.25744268852429
gamma_CP_rx2,0.32427844052899,0.0432282814498471,0.111978340806967,0.204384609759076,0.279466512496292
a_FP_RHCP_rx1,0.589654499698374,0.581149703954595,0.414642949985001,0.657887095518584,0.46555442790426
a_FP_LHCP_rx1,0.457441142035743,0.436164708187824,0.36072504548746,0.360693126527509,0.276609146831362
a_FP_RHCP_rx2,0.644162299689937,0.406999755202239,0.333814929088363,0.552474958187621,0.487616022803344
a_FP_LHCP_rx2,0.437455722960819,0.35114590591335,0.28666280404272,0.349726947832935,0.29595087526194
