Row,gamma_CP_rx1,gamma_CP_rx2,a_FP_RHCP_rx1,a_FP_LHCP_rx1,a_FP_RHCP_rx2,a_FP_LHCP_rx2
gamma_CP_rx1,1,0.445236922680647,0.624487945838739,0.0994601757921793,0.119886152370678,0.237013724356863
gamma_CP_rx2,0.445236922680647,1,0.13237804491366,0.0167283055254149,0.34913493823616,0.322636103045621
a_FP_RHCP_rx1,0.624487945838739,0.13237804491366,1,0.530549265159901,0.436375799036898,0.284043191477208
a_FP_LHCP_rx1,0.0994601757921793,0.0167283055254149,0.530549265159901,1,0.435695206459626,0.517659774059898
a_FP_RHCP_rx2,0.119886152370678,0.34913493823616,0.436375799036898,0.435695206459626,1,0.446413151486127
a_FP_LHCP_rx2,0.237013724356863,0.322636103045621,0.284043191477208,0.517659774059898,0.446413151486127,1
