model_name,feature_name,n_repeats,mean_auc_drop,median_auc_drop,std_auc_drop,p05_auc_drop,p95_auc_drop
logistic,a_FP_LHCP_rx1,100,0.0103962848297214,0.0105263157894737,0.00705074017787224,-0.00185758513931888,0.0210526315789474
logistic,gamma_CP_rx1,100,0.00882352941176479,0.00897832817337468,0.00612679545774877,-0.000619195046439591,0.0188854489164089
logistic,gamma_CP_rx2,100,0.00499690402476786,0.00433436532507736,0.00906456253030566,-0.00804953560371507,0.0241486068111456
logistic,a_FP_RHCP_rx1,100,0.00473684210526323,0.00433436532507747,0.00613500726553777,-0.00650154798761599,0.0148606811145511
logistic,a_FP_RHCP_rx2,100,0.00198761609907126,0.00185758513931888,0.0027681382786212,-0.00340557275541786,0.00619195046439625
logistic,a_FP_LHCP_rx2,100,-0.000458204334365282,-0.000619195046439591,0.00314945214616511,-0.00495356037151695,0.00588235294117656
rf,a_FP_RHCP_rx1,100,0.0153219814241486,0.0156346749226006,0.00406878844552715,0.00758513931888544,0.0213622291021672
rf,a_FP_LHCP_rx1,100,0.00853250773993811,0.00928792569659448,0.00400277367192977,0.000619195046439702,0.0142414860681115
rf,gamma_CP_rx2,100,0.000907120743034062,0.000928792569659442,0.002644014407101,-0.00278637770897838,0.00557275541795677
rf,a_FP_LHCP_rx2,100,-0.00010526315789475,0,0.00167749240028102,-0.00309597523219818,0.00247678018575848
rf,a_FP_RHCP_rx2,100,-0.000808049535603733,-0.000619195046439647,0.00252244507796389,-0.0057275541795665,0.00309597523219818
rf,gamma_CP_rx1,100,-0.0012538699690403,-0.00123839009287929,0.00214196208498176,-0.00464396284829727,0.00309597523219807
